"","i","j","空港i","空港j","航空会社","運賃（実績）","運賃（ベース）","運賃（反実仮想）","航空便数（実績）","航空便数（ベース）","航空便数（反実仮想）","シェア（実績）","シェア（ベース）","シェア（反実仮想）","需要（実績）","需要（ベース）","需要（反実仮想）"
"32",8,37,"新千歳","福岡","JAL",25550,"－","22088","2","0","0.6",0.519,0,0.154,120,0,35
"33",8,37,"新千歳","福岡","ANA",25550,"22999","22557","1","0.6","0.3",0.447,0.281,0.115,103,65,26
"34",8,37,"札幌","博多","JR",40480,"0","0","－","－","－",0.035,0.719,0.732,8,166,169
"35",12,8,"仙台","新千歳","JAL",14200,"13128","12586","3.9","3.4","4",0.343,0.294,0.348,117,101,119
"36",12,8,"仙台","新千歳","ANA",14200,"12585","13056","3","3","2.6",0.303,0.306,0.267,104,105,91
"37",12,8,"仙台","新千歳","ADO",13700,"11414","11421","3.7","3.9","3.9",0.321,0.341,0.342,110,117,117
"38",12,8,"仙台","札幌","JR",17930,"0","0","－","－","－",0.032,0.059,0.043,11,20,15
"39",12,18,"仙台","成田","ANA",9050,"12313","14187","1","0.9","0.8",0.593,0.533,0.465,13,12,10
"40",12,18,"仙台","成田","IBX",9050,"11508","12487","1","1.1","1.3",0.407,0.467,0.535,9,10,12
"41",12,25,"仙台","大阪","ANA",15400,"15964","16302","6","5.3","5.1",0.578,0.512,0.496,289,256,248
"42",12,25,"仙台","大阪","JEX",15400,"15262","15408","6","6.5","6.7",0.404,0.443,0.455,202,221,227
"43",12,25,"仙台","大阪","IBX",15400,"12585","12598","1.2","2.8","3",0.018,0.045,0.048,9,23,24
"44",12,37,"仙台","福岡","JAL",21750,"22403","22588","2.6","2.1","2.1",0.738,0.589,0.589,83,66,66
"45",12,37,"仙台","福岡","ANA",21750,"20179","20354","1.3","2.1","2.1",0.262,0.411,0.411,29,46,46
"46",18,3,"東京","函館","JAL",15700,"14367","14597","3","3","3",0.394,0.398,0.397,240,242,242
"47",18,3,"東京","函館","ANA",15700,"14002","14060","2","2.3","2.4",0.29,0.327,0.344,176,199,209
"48",18,3,"東京","函館","ADO",12100,"10893","10908","2","0.7","0.7",0.19,0.062,0.066,115,38,40
"49",18,3,"東京","新函館北斗","JR",18850,"0","0","－","－","－",0.127,0.212,0.193,77,129,117
"50",18,8,"東京","新千歳","JAL",16750,"15522","15696","18.1","17.9","19.9",0.363,0.359,0.399,1755,1738,1927
"51",18,8,"東京","新千歳","ANA",16750,"15461","15886","16.7","16.8","17.3",0.355,0.358,0.368,1716,1731,1779
"52",18,8,"東京","新千歳","SKY",10850,"8567","8578","8","1.8","2.1",0.082,0.019,0.022,397,91,106
"53",18,8,"東京","新千歳","ADO",12950,"11771","11795","9.6","3","3.4",0.125,0.039,0.045,603,186,216
"54",18,8,"成田","新千歳","JAL",16750,"15389","15762","1.7","1.8","1.9",0.013,0.013,0.014,63,65,68
"55",18,8,"成田","新千歳","ANA",16750,"15761","16136","1","0.9","1",0.007,0.007,0.007,34,31,33
"56",18,8,"成田","新千歳","IBX",16750,"13410","13413","1","1.9","2.2",0.002,0.005,0.005,12,22,26
"57",18,8,"東京","札幌","JR",22780,"0","0","－","－","－",0.053,0.201,0.141,256,970,681
"58",18,12,"成田","仙台","ANA",9050,"12658","14444","1","0.8","0.7",0.643,0.547,0.48,14,12,10
"59",18,12,"成田","仙台","IBX",9050,"11339","12244","1","1.2","1.4",0.357,0.453,0.52,8,10,11
"60",18,25,"東京","大阪","JAL",11250,"9625","9603","15","10.1","10.2",0.05,0.034,0.034,1263,851,859
"61",18,25,"東京","大阪","ANA",11250,"9432","9541","14","10","9.7",0.053,0.038,0.037,1324,947,918
"62",18,25,"東京","関西","JAL",11250,"11805","11654","6.2","2.2","2.3",0.01,0.003,0.004,249,87,91
"63",18,25,"東京","関西","ANA",11250,"11373","11893","4.4","1.8","1.5",0.01,0.004,0.003,242,96,82
"64",18,25,"東京","関西","SFJ",10350,"9693","9692","4","1.5","1.5",0.006,0.002,0.002,151,58,58
"65",18,25,"成田","大阪","JAL",11250,"10442","10643","2","1.1","1",0.004,0.002,0.002,105,55,52
"66",18,25,"成田","大阪","ANA",11250,"10593","11017","1.7","0.9","0.8",0.003,0.002,0.002,88,44,39
"67",18,25,"東京","神戸","JAL",11250,"11890","11732","2","0.7","0.7",0.005,0.002,0.002,120,41,43
"68",18,25,"東京","神戸","ANA",11250,"11574","11580","2.2","0.8","0.8",0.005,0.002,0.002,115,43,43
"69",18,25,"東京","神戸","SKY",5700,"7406","7406","5.2","0.2","0.2",0.01,0,0,259,12,12
"70",18,25,"東京","新大阪","JR",14450,"0","0","－","－","－",0.844,0.911,0.912,21161,22843,22880
"71",18,37,"東京","福岡","JAL",18350,"16551","16613","18.6","17.4","16.8",0.273,0.255,0.248,1527,1426,1384
"72",18,37,"東京","福岡","ANA",18350,"16529","16373","17.6","16.5","17.1",0.287,0.27,0.28,1605,1510,1565
"73",18,37,"東京","福岡","SKY",10850,"9341","9340","9.9","0.9","0.9",0.106,0.009,0.009,590,52,52
"74",18,37,"成田","福岡","JAL",18350,"17284","17633","2.2","1.6","1.4",0.012,0.009,0.008,68,51,46
"75",18,37,"成田","福岡","ANA",18350,"17572","17832","2","1.4","1.3",0.009,0.006,0.006,49,34,31
"76",18,37,"東京","北九州","JAL",18350,"15853","15238","4","4.6","5.5",0.023,0.027,0.032,129,149,177
"77",18,37,"東京","北九州","SFJ",14800,"－","－","10.4","0","0",0.068,0,0,382,0,0
"78",18,37,"東京","佐賀","ANA",18350,"17671","17980","5","3.3","3",0.023,0.015,0.014,127,85,76
"79",18,37,"東京","博多","JR",22950,"0","0","－","－","－",0.199,0.408,0.404,1111,2281,2258
"80",18,46,"東京","那覇","JAL",20400,"25467","25495","11.6","11.9","12",0.492,0.503,0.508,1280,1311,1323
"81",18,46,"東京","那覇","ANA",20400,"25252","25328","9.9","10.8","10.8",0.425,0.464,0.462,1106,1209,1202
"82",18,46,"東京","那覇","SKY",12350,"12940","12940","3","1","1.1",0.063,0.022,0.022,163,57,58
"83",18,46,"成田","那覇","ANA",20400,"27748","28706","1","0.5","0.4",0.021,0.011,0.008,54,28,21
"84",25,3,"関西","函館","ANA",19450,"18190","－","1","0.3","0",0.72,0.211,0,39,11,0
"85",25,3,"新大阪","新函館北斗","JR",28480,"0","0","－","－","－",0.28,0.789,1,15,42,54
"86",25,8,"大阪","新千歳","JAL",20700,"17448","16937","2.2","1.5","0.9",0.14,0.103,0.06,157,115,67
"87",25,8,"大阪","新千歳","ANA",20700,"17566","17319","1.2","0.8","0.4",0.091,0.065,0.035,102,73,39
"88",25,8,"関西","新千歳","JAL",20650,"19162","18752","4","1.7","1",0.211,0.09,0.051,237,101,57
"89",25,8,"関西","新千歳","ANA",20650,"19140","18794","4.1","1.7","1",0.207,0.088,0.049,232,99,55
"90",25,8,"神戸","新千歳","JAL",20700,"－","18455","3","0","0.8",0.157,0,0.043,176,0,48
"91",25,8,"神戸","新千歳","ANA",20700,"18573","18459","3","1.6","0.8",0.119,0.062,0.032,134,70,36
"92",25,8,"新大阪","札幌","JR",32410,"0","0","－","－","－",0.074,0.592,0.73,83,663,818
"93",25,12,"大阪","仙台","ANA",15400,"15963","16345","6","5.3","5.1",0.577,0.512,0.494,286,253,245
"94",25,12,"大阪","仙台","JEX",15400,"15268","15433","6","6.5","6.7",0.405,0.443,0.457,201,220,226
"95",25,12,"大阪","仙台","IBX",15400,"12583","12597","1.2","2.9","3.1",0.018,0.045,0.048,9,22,24
"96",25,18,"大阪","東京","JAL",11250,"9637","9235","15","10.1","11.3",0.052,0.035,0.04,1316,885,997
