"","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob"
"50",18,8,"東京","新千歳","JAL",1754613,90,33500,18,800,58.783124,4,0,444.655208964264,5680.17549969715,4835376,894,444.655208964264,6604,9834,59.8,0.362870022930999
"51",18,8,"東京","新千歳","ANA",1715570,90,33500,16,780,58.783124,4,0,462.30157946693,6773.39404409345,4835376,894,462.30157946693,6078,9834,61.1,0.354795573291508
"52",18,8,"東京","新千歳","SKY",397362,90,21700,9,775,58.783124,4,0,177,0,4835376,894,177,2903,4917,77.3,0.0821780974219999
"53",18,8,"東京","新千歳","ADO",602707,90,25900,10,785,58.783124,4,0,242.955937052933,1394.61201716738,4835376,894,242.955937052933,3495,8046,71,0.124645322307924
"54",18,8,"成田","新千歳","JAL",63195,105,33500,2,60,104.604254,3,0,179.498432601881,272.62539184953,4835376,892,179.498432601881,638,9812,55.2,0.0130693042278408
"55",18,8,"成田","新千歳","ANA",34133,105,33500,1,0,104.604254,3,0,165.510989010989,333.851648351648,4835376,892,165.510989010989,364,9812,56.7,0.00705901671348826
"56",18,8,"成田","新千歳","IBX",11796,105,33500,1,40,104.604254,3,0,50,0,4835376,892,50,361,9812,65.4,0.00243952073220366
"57",18,8,"東京","札幌","JR",256000,314,21000,1,452,7.452543,0,1,0,0,4835376,NA,NA,NA,NA,NA,0.0529431423740367
"58",18,12,"成田","仙台","ANA",13572,60,18100,2,0,78.831177,2,0,73.9972527472527,0,21123,435,73.9972527472527,364,4785,50.4,0.642522368981679
"59",18,12,"成田","仙台","IBX",7551,60,18100,2,270,78.831177,2,0,50,0,21123,435,50,359,4785,42.1,0.357477631018321
"60",18,25,"東京","大阪","JAL",1262583,65,22500,15,770,30.83218,2,0,375.392092257002,4405.60150100677,25077066,514,375.392092257002,5463,5654,61.6,0.0503481148871244
"61",18,25,"東京","大阪","ANA",1324401,65,22500,14,735,30.83218,2,0,423.075745682889,3186.07476452119,25077066,514,423.075745682889,5096,5654,61.4,0.0528132358067726
"62",18,25,"東京","関西","JAL",249460,75,22500,6,870,54.078609,3,0,164.115300306883,83.0289346777729,25077066,678,164.115300306883,2281,7458,66.6,0.00994773471505797
"63",18,25,"東京","関西","ANA",242305,75,22500,4,760,54.078609,3,0,227.097093382808,2047.57390228819,25077066,678,227.097093382808,1617,7458,66,0.00966241425531998
"64",18,25,"東京","関西","SFJ",150657,75,20700,4,490,54.078609,3,0,144,0,25077066,678,144,1455,6102,71.9,0.00600776023797999
"65",18,25,"成田","大阪","JAL",105150,85,22500,2,0,76.65331,2,0,205.290809327846,661.068587105624,25077066,589,205.290809327846,729,6479,70.3,0.00419307426155835
"66",18,25,"成田","大阪","ANA",87751,85,22500,2,0,76.65331,2,0,212.053375196232,1937.72527472527,25077066,589,212.053375196232,637,6479,65,0.00349925306253929
"67",18,25,"東京","神戸","JAL",120191,70,22500,2,480,44.948443,3,0,229.603851444292,94.0453920220083,25077066,695,229.603851444292,727,7645,72,0.00479286532164488
"68",18,25,"東京","神戸","ANA",114621,70,22500,2,790,44.948443,3,0,249.665441176471,1327.75245098039,25077066,695,249.665441176471,816,7645,56.3,0.00457075002314864
"69",18,25,"東京","神戸","SKY",258947,70,11400,6,690,44.948443,3,0,177,0,25077066,695,177,1895,3822.5,77.2,0.0103260485098217
"70",18,25,"東京","新大阪","JR",21161000,150,14450,1,780,12.048303,0,1,0,0,25077066,NA,NA,NA,NA,NA,0.843838748919032
"71",18,37,"東京","福岡","JAL",1526552,100,36700,19,785,20.323949,3,0,386.851157987904,4767.96592417761,5587903,1041,386.851157987904,6779,11451,58.2,0.273188707821163
"72",18,37,"東京","福岡","ANA",1605033,100,36700,18,805,20.323949,3,0,416.227159338946,5235.22061116308,5587903,1041,416.227159338946,6414,11451,60.1,0.287233511390588
"73",18,37,"東京","福岡","SKY",589790,100,21700,10,760,20.323949,3,0,198.6640044065,0,5587903,1041,198.6640044065,3631,5725.5,81.8,0.10554764461731
"74",18,37,"成田","福岡","JAL",68401,120,36700,2,0,66.145079,2,0,147.222363405337,94.7090216010165,5587903,1107,147.222363405337,787,12177,59,0.012240906830344
"75",18,37,"成田","福岡","ANA",49204,120,36700,2,0,66.145079,2,0,122.860082304527,6.86556927297668,5587903,1107,122.860082304527,729,12177,54.9,0.00880544991564814
"76",18,37,"東京","北九州","JAL",128677,100,36700,4,615,80.733392,2,0,164.131958762887,119.356701030928,5587903,958,164.131958762887,1455,10538,53.9,0.0230277798308238
"77",18,37,"東京","北九州","SFJ",382047,100,29600,11,705,80.733392,2,0,144,708.053732133404,5587903,958,144,3778,8622,70.2,0.068370370781311
"78",18,37,"東京","佐賀","ANA",127199,110,36700,4,570,69.447815,1,0,134.094579646018,4341.52157079646,5587903,1130,134.094579646018,1808,12430,52.5,0.0227632798922959
"79",18,37,"東京","博多","JR",1111000,300,22950,1,480,8.70507,0,1,0,0,5587903,NA,NA,NA,NA,NA,0.198822348920516
"80",18,46,"東京","那覇","JAL",1279999,160,40800,11,720,20.748883,3,0,480.993856332703,9219.23511342155,2603861,1687,480.993856332703,4232,18557,62.9,0.49157731537897
"81",18,46,"東京","那覇","ANA",1106219,160,40800,9,705,20.748883,3,0,456.351366271046,6482.09108473641,2603861,1687,456.351366271046,3623,18557,66.9,0.424837961780602
"82",18,46,"東京","那覇","SKY",163200,160,24700,3,595,20.748883,3,0,192.315547378105,0,2603861,1687,192.315547378105,1087,9278.5,78.1,0.0626761566765661
"83",18,46,"成田","那覇","ANA",54443,155,40800,1,200,66.570013,1,0,215.120547945205,158.282191780822,2603861,1887,215.120547945205,365,20757,69.3,0.020908566163862
"84",25,3,"関西","函館","ANA",38638,100,38900,1,30,43.577409,1,0,123.351648351648,93.3186813186813,53638,1197,123.351648351648,364,13167,86.1,0.720347514821582
"85",25,3,"新大阪","新函館北斗","JR",15000,464,32730,1,0,18.3042805,0,1,0,0,53638,NA,NA,NA,NA,NA,0.279652485178418
"86",25,8,"大阪","新千歳","JAL",157415,110,41400,2,425,54.177172,2,0,271.964376590331,4108.08905852417,1120931,1161,271.964376590331,786,12771,77.5,0.140432372733023
"87",25,8,"大阪","新千歳","ANA",102185,110,41400,1,415,54.177172,2,0,302.304245283019,3668.6179245283,1120931,1161,302.304245283019,424,12771,79.7,0.0911608297031664
"88",25,8,"関西","新千歳","JAL",236934,110,41300,4,455,77.423601,2,0,231.357679180887,2449.16040955631,1120931,1309,231.357679180887,1465,14399,69.9,0.21137251088604
"89",25,8,"関西","新千歳","ANA",231669,110,41300,4,590,77.423601,2,0,214.428089128967,2003.45509790682,1120931,1309,214.428089128967,1481,14399,73,0.206675522400576
"90",25,8,"神戸","新千歳","JAL",176178,115,41400,3,400,68.293435,2,0,233.791705069124,2045.65806451613,1120931,1251,233.791705069124,1085,13761,69.5,0.157171137206483
"91",25,8,"神戸","新千歳","ANA",133550,115,41400,3,380,68.293435,2,0,182.345270890725,641.640036730946,1120931,1251,182.345270890725,1089,13761,67.3,0.1191420346123
"92",25,8,"新大阪","札幌","JR",83000,464,35450,1,152,5.75576,0,1,0,0,1120931,NA,NA,NA,NA,NA,0.0740455924584118
"93",25,12,"大阪","仙台","ANA",285683,75,30800,6,575,28.404095,3,0,207.224977043159,1352.3709825528,495222,803,207.224977043159,2178,8833,63.3,0.576878652402357
"94",25,12,"大阪","仙台","JEX",200544,75,30800,6,605,28.404095,3,0,156.362298850575,200.103908045977,495222,803,156.362298850575,2175,8833,59,0.404957776512352
"95",25,12,"大阪","仙台","IBX",8995,75,30800,1,0,28.404095,3,0,50,0,495222,803,50,422,8833,42.6,0.018163571085291
"96",25,18,"大阪","東京","JAL",1315634,65,22500,15,660,30.83218,2,0,375.231966312706,2857.73416331014,25166092,514,375.231966312706,5462,5654,64.2,0.052278041421767
"97",25,18,"大阪","東京","ANA",1347162,65,22500,14,655,30.83218,2,0,423.17658613239,2438.75564722059,25166092,514,423.17658613239,5091,5654,62.5,0.0535308382405977
"98",25,18,"関西","東京","JAL",243321,75,22500,6,755,54.078609,3,0,164.617543859649,302.375877192982,25166092,678,164.617543859649,2280,7458,64.8,0.00966860488311018
"99",25,18,"関西","東京","ANA",230813,75,22500,4,780,54.078609,3,0,189.869700103413,1391.54705274043,25166092,678,189.869700103413,1934,7458,62.9,0.00917158691146802
"100",25,18,"関西","東京","SFJ",158283,75,20700,4,755,54.078609,3,0,144,0,25166092,678,144,1456,6102,75.5,0.00628953434645316
"101",25,18,"大阪","成田","JAL",108098,85,22500,2,530,76.65331,2,0,204.598901098901,1145.7239010989,25166092,589,204.598901098901,728,6479,72.6,0.00429538285086139
"102",25,18,"大阪","成田","ANA",88647,85,22500,2,525,76.65331,2,0,212.138147566719,10.6624803767661,25166092,589,212.138147566719,637,6479,65.6,0.00352247778479074
"103",25,18,"神戸","東京","JAL",111429,70,22500,2,715,44.948443,3,0,229.692837465565,1016.64600550964,25166092,695,229.692837465565,726,7645,66.8,0.0044277434891361
"104",25,18,"神戸","東京","ANA",122651,70,22500,2,710,44.948443,3,0,250.607579462103,517.812958435208,25166092,695,250.607579462103,818,7645,59.8,0.00487366095617865
