OD,i,j,空港i,空港j,rk,k,航空会社,所要時間,費用,費用（多客期）,航空便数,滞在可能時間,アクセシビリティ指標,エアライン参入社数,DISk,cpma,Seatk,LFk
66,41,102,熊本,伊丹,熊本伊丹,,JEX,70,23500,25700,3,615,,3,,,,
67,104,41,神戸,熊本,神戸熊本,,AMX,90,18500,21500,1,0,,1,,,,
68,41,104,熊本,神戸,熊本神戸,,AMX,90,18500,21500,1,30,,1,,,,
69,37,12,福岡,仙台,福岡仙台,,JAL,105,43500,45700,3,325,,2,,,,
69,37,12,福岡,仙台,福岡仙台,,ANA,105,43500,45700,2,335,,2,,,,
70,12,37,仙台,福岡,仙台福岡,,JAL,105,43500,45700,3,300,,2,,,,
70,12,37,仙台,福岡,仙台福岡,,ANA,105,43500,45700,2,50,,2,,,,
71,37,20,福岡,新潟,福岡新潟,,ANA,95,41100,43300,1,40,,1,,,,
72,20,37,新潟,福岡,新潟福岡,,ANA,95,41100,43300,1,0,,1,,,,
73,37,44,福岡,鹿児島,福岡鹿児島,,JAC,45,18600,20800,6,620,,1,,,,
74,44,37,鹿児島,福岡,鹿児島福岡,,JAC,45,18600,20800,6,690,,1,,,,
75,12,31,仙台,広島,仙台広島,,ANA,95,39000,40900,1,85,,1,,,,
76,31,12,広島,仙台,広島仙台,,ANA,95,39000,40900,1,0,,1,,,,
77,44,30,鹿児島,岡山,鹿児島岡山,,JAC,75,29500,30600,2,550,,1,,,,
78,30,44,岡山,鹿児島,岡山鹿児島,,JAC,75,29500,30600,2,340,,1,,,,
79,44,31,鹿児島,広島,鹿児島広島,,JAC,60,23700,30600,3,595,,1,,,,
80,31,44,広島,鹿児島,広島鹿児島,,JAC,60,23700,30600,3,420,,1,,,,
81,25,44,関西国際,鹿児島,関西国際鹿児島,,ANA,70,26800,29000,6,585,,3,,,,
81,25,44,関西国際,鹿児島,関西国際鹿児島,,JEX,70,26800,29000,5,495,,3,,,,
81,25,44,関西国際,鹿児島,関西国際鹿児島,,JAC,70,26800,29000,2,0,,3,,,,
82,44,25,鹿児島,関西国際,鹿児島関西国際,,ANA,70,26800,29000,6,630,,3,,,,
82,44,25,鹿児島,関西国際,鹿児島関西国際,,JEX,70,26800,29000,5,390,,3,,,,
82,44,25,鹿児島,関西国際,鹿児島関西国際,,JAC,70,26800,29000,2,625,,3,,,,
83,107,41,中部,熊本,中部熊本,,ANA,80,29200,31400,2,415,,3,,,,
83,107,41,中部,熊本,中部熊本,,JEX,80,29200,31400,2,620,,3,,,,
83,107,41,中部,熊本,中部熊本,,JAL,80,29200,31400,1,25,,3,,,,
84,41,107,熊本,中部,熊本中部,,ANA,80,29200,31400,2,195,,3,,,,
84,41,107,熊本,中部,熊本中部,,JEX,80,29200,31400,2,395,,3,,,,
84,41,107,熊本,中部,熊本中部,,JAL,80,29200,31400,1,0,,3,,,,
85,107,37,中部,福岡,中部福岡,,ANA,80,25400,27600,12,695,,2,,,,
85,107,37,中部,福岡,中部福岡,,JAL,80,25400,27600,5,610,,2,,,,
86,37,107,福岡,中部,福岡中部,,ANA,80,25400,27600,12,685,,2,,,,
86,37,107,福岡,中部,福岡中部,,JAL,80,25400,27600,5,615,,2,,,,
87,107,20,中部,新潟,中部新潟,,ANA,55,25500,25500,2,685,,2,,,,
87,107,20,中部,新潟,中部新潟,,JAL,55,25500,25500,2,605,,2,,,,
88,20,107,新潟,中部,新潟中部,,ANA,55,25500,25500,2,500,,2,,,,
88,20,107,新潟,中部,新潟中部,,JAL,55,25500,25500,2,445,,2,,,,
89,107,13,中部,秋田,中部秋田,,ANA,70,28700,30800,1,35,,2,,,,
89,107,13,中部,秋田,中部秋田,,JAL,70,28700,30800,2,535,,2,,,,
90,13,107,秋田,中部,秋田中部,,ANA,70,28700,30800,1,0,,2,,,,
90,13,107,秋田,中部,秋田中部,,JAL,70,28700,30800,2,350,,2,,,,
91,25,37,関西国際,福岡,関西国際福岡,,JAL,70,21900,24100,5,630,,3,,,,
91,25,37,関西国際,福岡,関西国際福岡,,ANA,70,21900,24100,11,615,,3,,,,
91,25,37,関西国際,福岡,関西国際福岡,,JAC,70,21900,24100,2,30,,3,,,,
92,37,25,福岡,関西国際,福岡関西国際,,JAL,70,21900,24100,5,725,,3,,,,
92,37,25,福岡,関西国際,福岡関西国際,,ANA,70,21900,24100,11,675,,3,,,,
92,37,25,福岡,関西国際,福岡関西国際,,JAC,70,21900,24100,2,495,,3,,,,
93,18,37,羽田,福岡,羽田福岡,,JAL,110,36700,38900,21,785,,3,,,,
93,18,37,羽田,福岡,羽田福岡,,ANA,110,36700,38900,20,805,,3,,,,
