"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"78",25,12,"大阪","仙台","ANA",15888.3321009136,15400,1945.2123128923,2178,0.515243937399897,0.576878652402357,255160.133167052,285683
"79",25,12,"大阪","仙台","JEX",15236.3465428133,15400,2365.10728939229,2175,0.440590344432603,0.404957776512352,218190.031550602,200544
"80",25,12,"大阪","仙台","IBX",12580.0761584991,15400,1026.84672687071,422,0.0441657181675009,0.018163571085291,21871.8352823461,8995
"81",25,18,"大阪","東京","JAL",9536.23646654182,11250,3798.82848432393,5462,0.0363637583520147,0.052278041421767,915133.68815257,1315634
"82",25,18,"大阪","東京","ANA",9386.2083716031,11250,3707.77955493461,5091,0.0389672514058972,0.0535308382405977,980653.433867937,1347162
"83",25,18,"関西","東京","JAL",11991.8330833697,11250,754.514455498825,2280,0.0031981800381676,0.00966860488311018,80485.6930730894,243321
"84",25,18,"関西","東京","ANA",11707.6470071154,11250,696.646491806926,1934,0.00330600102869894,0.00917158691146802,83199.1260403323,230813
"85",25,18,"関西","東京","SFJ",9693.36454163336,10350,559.985668151791,1456,0.00241919332733357,0.00628953434645316,60881.6418414627,158283
"86",25,18,"大阪","成田","JAL",11391.4515022963,11250,288.681001014653,728,0.00170389308391541,0.00429538285086139,42880.330107979,108098
"87",25,18,"大阪","成田","ANA",12655.7800017496,11250,172.33638196387,637,0.000952980036124675,0.00352247778479074,23982.7832632769,88647
"88",25,18,"神戸","東京","JAL",14040.2623036762,11250,129.213217982511,726,0.000787798369801516,0.0044277434891361,19825.806251875,111429
"89",25,18,"神戸","東京","ANA",15053.4260728566,11250,107.15622823358,818,0.000638112165495538,0.00487366095617865,16058.7894631799,122651
"90",25,18,"神戸","東京","SKY",7405.14233879583,5700,87.3756633440576,1897,0.000505149339936464,0.0109692835899988,12712.6347625803,276054
"91",25,18,"新大阪","東京","JR",0,7225,1,1,0.911157682852614,0.840972845525638,22930278.0731757,21164000
"92",25,37,"大阪","福岡","JAL",9973.83354891125,10950,361.591929064894,896,0.0118286292606092,0.0282997183452769,36125.7456530509,86430
"93",25,37,"大阪","福岡","ANA",10597.713895409,10950,897.037175278795,2585,0.0326063541361555,0.0939486472911443,99582.8705291078,286928
"94",25,37,"大阪","福岡","JAC",9958.48702396944,10950,298.807662645182,710,0.00518386965089887,0.0123090513913455,15832.0251975923,37593
"95",25,37,"関西","福岡","JAL",206765.908539925,10950,5.47186235852733e-24,1110,8.02639074419943e-29,0.0143990329046847,2.4513351813515e-22,43976
"96",25,37,"関西","福岡","ANA",155098.215696475,10950,4.63818370782919e-17,1327,7.112525818667e-22,0.0203566098489437,2.1722322427636e-15,62171
"97",25,37,"大阪","佐賀","ANA",219055.517318885,10950,9.82576081246942e-26,721,9.38019203889462e-31,0.00687470654144895,2.86479882248358e-24,20996
"98",25,37,"新大阪","博多","JR",0,7655,1,1,0.950381146952336,0.823812233677156,2902553.35862025,2516000
"99",25,46,"大阪","那覇","JAL",21146.3897966212,17100,342.485792818649,428,0.113348097036704,0.141643147911907,112574.949666816,140677
"100",25,46,"大阪","那覇","ANA",21338.7153308238,17100,321.754549079587,426,0.118844316814711,0.157408684637915,118033.679729718,156335
"101",25,46,"関西","那覇","JAL",19390.6153945103,17100,2006.81876895632,1473,0.298619281918916,0.219305885444618,296582.399796947,217810
"102",25,46,"関西","那覇","ANA",21033.1989691092,17100,1295.66556847394,1565,0.189976496402269,0.229407790539268,188680.666720309,227843
"103",25,46,"神戸","那覇","ANA",21345.3379880724,17100,771.203868733372,1024,0.119276538090302,0.158308824491859,118462.952823988,157229
"104",25,46,"神戸","那覇","JTA",18651.7237051171,17100,1264.21058910264,743,0.159935269737098,0.0939256669744326,158844.351262221,93285
"105",37,8,"福岡","新千歳","JAL",28701.235939896,25550,591.001376858579,729,0.434684746378777,0.53629946390946,97787.5499148624,120647
"106",37,8,"福岡","新千歳","ANA",27352.5311330202,25550,453.311577622554,372,0.565315253621223,0.46370053609054,127174.450085138,104315
"107",37,12,"福岡","仙台","JAL",24092.6421112179,21750,685.521807025765,947,0.524553377141836,0.725025610229962,59398.3262140329,82099
"108",37,12,"福岡","仙台","ANA",21214.3589676861,21750,838.420071800519,485,0.475446622858164,0.274974389770038,53837.6737859671,31137
"109",37,18,"福岡","東京","JAL",16669.8059081912,18350,6014.85590268245,6777,0.243068889905677,0.273697562018623,1373259.98750897,1546302
"110",37,18,"福岡","東京","ANA",16469.6882329683,18350,6048.97723060911,6411,0.273888882187719,0.290259756580645,1547382.89658502,1639873
"111",37,18,"福岡","東京","SKY",9340.8869568451,10850,316.108205730549,3628,0.00927121764433118,0.106448265864544,52379.3572735191,601398
"112",37,18,"福岡","成田","JAL",18210.2753017841,18350,439.867951666191,790,0.00720938911996947,0.0129407466696309,40730.6982669744,73111
"113",37,18,"福岡","成田","ANA",19761.9178715488,18350,254.397946996104,730,0.00324005425389665,0.009301775642276,18305.2502768293,52552
"114",37,18,"北九州","東京","JAL",15770.7364045624,18350,1695.52014771026,1454,0.0254183957394983,0.0218003729064721,143605.649531154,123165
"115",37,18,"北九州","東京","SFJ",12297.9504055614,14800,1468.91288256012,3777,0.0256463588404801,0.0659484069346302,144893.56673573,372587
"116",37,18,"佐賀","東京","ANA",17979.1083080698,18350,876.271773039441,1468,0.013608946304413,0.0227775974330554,76886.1101034382,128686
"117",37,18,"博多","東京","JR",0,11475,1,1,0.398647866004015,0.196825515950124,2252230.48371837,1112000
"118",37,25,"福岡","大阪","JAL",121590.820469553,10950,6.84566988961021e-13,897,2.30129467192757e-17,0.0258886874706795,7.03934972664573e-11,79190
"119",37,25,"福岡","大阪","ANA",10573.5143890883,10950,914.546549176526,2581,0.0331750745673593,0.0935879811629477,101478.074466486,286273
"120",37,25,"福岡","大阪","JAC",9959.37071919879,10950,300.198972596459,703,0.0053596566999321,0.0125540028736149,16394.4662914378,38401
"121",37,25,"福岡","関西","JAL",265966.410189299,10950,9.19359789742204e-32,1110,1.40168382683761e-36,0.0150389114916807,4.28756159897962e-30,46002
"122",37,25,"福岡","関西","ANA",84184.3222124165,10950,9.89792243958934e-08,1328,1.67085667205019e-12,0.0224256382677889,5.11092499415082e-06,68597
"123",37,25,"佐賀","大阪","ANA",220654.12722133,10950,6.11551360978523e-26,717,6.52443540796117e-31,0.0076505501223493,1.99573671141731e-24,23402
"124",37,25,"博多","新大阪","JR",0,7655,1,1,0.961465268731038,0.822854228610939,2940992.45923697,2517000
"125",37,46,"福岡","那覇","JAL",17050.7916573169,13750,2011.62747398091,1833,0.3345691610837,0.305046592619045,219227.781076739,199883
"126",37,46,"福岡","那覇","ANA",17907.3790342977,13750,2459.635613557,2907,0.481965652814173,0.569556233155387,315809.921869098,373204
"127",37,46,"福岡","那覇","JTA",15097.3495504001,13750,722.640329582135,365,0.106713065723761,0.0538676604797529,69924.1631677572,35297
"128",37,46,"福岡","那覇","SKY",9422.86600778009,9900,637.077017131635,594,0.0767521203783656,0.0715295137458146,50292.1338864056,46870
"129",46,18,"那覇","東京","JAL",25478.6304435008,20400,4085.17774385685,4224,0.484947114812483,0.501080469132098,1244381.57081555,1285780
"130",46,18,"那覇","東京","ANA",25062.6212592203,20400,3971.03057693117,3616,0.460164995089374,0.419176037552392,1180790.27987426,1075612
"131",46,18,"那覇","東京","JTA",22260.794041189,20400,658.613567091828,257,0.0328493408604897,0.0128140326537452,84291.9013881295,32881
"132",46,18,"那覇","東京","SKY",12940.1833506291,12350,357.420229621055,1086,0.0220385492376524,0.0669294606617654,56551.2479220547,171742
"133",46,25,"那覇","大阪","JAL",20570.8236767495,17100,419.313728670618,427,0.133375736676936,0.13580072467425,132147.346142141,134550
"134",46,25,"那覇","大阪","ANA",21551.0156248686,17100,311.016476250283,426,0.107137823535124,0.146764702913836,106151.084180365,145413
"135",46,25,"那覇","関西","JAL",20318.4727814627,17100,1558.25760130461,1471,0.242461733852271,0.228724553134368,240228.661283491,226618
"136",46,25,"那覇","関西","ANA",20506.2647026631,17100,1555.02165622158,1552,0.243553373036977,0.243171610533009,241310.246471306,240932
"137",46,25,"那覇","神戸","ANA",21545.6437594657,17100,749.669990284453,1025,0.112274971298245,0.153550197317292,111240.918812588,152136
"138",46,25,"那覇","神戸","JTA",18658.3835938199,17100,1299.18454007688,741,0.161196361600448,0.0919882114272449,159711.743110108,91141
"139",46,37,"那覇","福岡","JAL",16778.9858635339,13750,2079.57931383538,1828,0.364426687115841,0.320591559133799,238951.298901673,210209
"140",46,37,"那覇","福岡","ANA",17746.340256248,13750,2467.66806867776,2909,0.479948950142758,0.565893080734675,314698.207068055,371051
"141",46,37,"那覇","福岡","JTA",14990.4894455328,13750,716.99561474512,367,0.0821510917530106,0.042057920575393,53865.7315026233,27577
"142",46,37,"那覇","福岡","SKY",9410.16782702697,9900,607.543413635596,591,0.0734732709883896,0.0714574395561324,48175.7625276482,46854
