"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"22",8,18,"新千歳","成田","ANA",15808.7537175145,16750,335.50128997076,362,0.00489052539341207,0.00528112778502242,23930.6758633976,25842
"23",8,18,"新千歳","成田","IBX",13413.7119636092,16750,682.593603799511,357,0.00547523078093758,0.00286372740699323,26791.7989491308,14013
"24",8,18,"札幌","東京","JR",0,11390,1,1,0.183635043810679,0.0476163909105419,898576.401732613,233000
"25",8,25,"新千歳","大阪","JAL",17966.5845065922,20700,473.21129862504,784,0.0890359867456289,0.142696595957268,99269.6940261847,159098
"26",8,25,"新千歳","大阪","ANA",17621.3117866076,20700,294.444427847537,424,0.0617719048666602,0.0889286319700002,68871.9058401292,99150
"27",8,25,"新千歳","関西","JAL",19257.5774553668,20650,601.079397896667,1464,0.0850164552610809,0.207021191293873,94788.1616123343,230816
"28",8,25,"新千歳","関西","ANA",19161.9946563564,20650,626.354940320277,1481,0.0893484808901488,0.211353266860339,99618.1059351816,235646
"29",8,25,"新千歳","神戸","JAL",18608.7508665414,20700,558.154442454217,1084,0.080631542944261,0.156523361367752,89899.2518587314,174514
"30",8,25,"新千歳","神戸","ANA",18569.0474697132,20700,563.346964805703,1081,0.0662690350581336,0.127105608468266,73885.9316786805,141715
"31",8,25,"札幌","新大阪","JR",0,16205,1,1,0.527926594234087,0.0663713440825014,588605.949048758,74000
"32",8,37,"新千歳","福岡","JAL",105884.437883772,25550,1,728,1.81061964984197e-11,0.518754745634017,4.17302563797328e-06,119560
"33",8,37,"新千歳","福岡","ANA",22999.0089637031,25550,233.811144887218,371,0.281413681897097,0.446534331272372,64858.8183352334,102915
"34",8,37,"札幌","博多","JR",0,20240,1,1,0.718586318084797,0.034710923093611,165616.181660594,8000
"35",12,8,"仙台","新千歳","JAL",13128.1995598887,14200,1226.30330003645,1433,0.293884310953583,0.343261548895171,100534.5900498,117426
"36",12,8,"仙台","新千歳","ANA",12585.0513990563,14200,1090.56016385516,1081,0.306267139146456,0.303485350303576,104770.619363472,103819
"37",12,8,"仙台","新千歳","ADO",11413.6448521288,13700,1436.71589977779,1351,0.341320244658381,0.321097726030361,116761.901174941,109844
"38",12,8,"仙台","札幌","JR",0,8965,1,1,0.0585283052415794,0.032155374770893,20021.8894117866,11000
"39",12,18,"仙台","成田","ANA",12312.7266615959,9050,326.950756721655,364,0.532756212396563,0.592597559340217,11918.2892275235,13257
"40",12,18,"仙台","成田","IBX",11508.3596550671,9050,409.108053717279,357,0.467243787603437,0.407402440659783,10452.7107724765,9114
"41",12,25,"仙台","大阪","ANA",15963.8844916809,15400,1927.28107554826,2174,0.511897376441728,0.577538372847157,255729.596143747,288522
"42",12,25,"仙台","大阪","JEX",15262.4453459713,15400,2381.84971084466,2174,0.442919281786121,0.404133938651486,221270.071440456,201894
"43",12,25,"仙台","大阪","IBX",12584.5032007718,15400,1037.80838693319,421,0.0451833417721507,0.0183276885013572,22572.3324157969,9156
"44",12,37,"仙台","福岡","JAL",22402.56816616,21750,756.212306872938,946,0.589406928293868,0.737812511177081,65916.913232673,82514
"45",12,37,"仙台","福岡","ANA",20178.8417076526,21750,758.096072958209,484,0.410593071706132,0.262187488822919,45919.086767327,29322
"46",18,3,"東京","函館","JAL",14367.0611170299,15700,1098.54681432413,1087,0.398405677077879,0.394088095171577,242430.252907566,239803
"47",18,3,"東京","函館","ANA",14001.8423411086,15700,825.965158999479,731,0.327272715767303,0.28982039470765,199145.77481712,176356
"48",18,3,"東京","函館","ADO",10892.9294503073,12100,237.618304701928,726,0.0620357936830389,0.18955104428752,37748.8424919228,115342
"49",18,3,"東京","新函館北斗","JR",0,9425,1,1,0.212285813471779,0.126540465833253,129176.129783391,77000
"50",18,8,"東京","新千歳","JAL",15522.1494114981,16750,6537.26218075847,6604,0.35949281984721,0.362870022930999,1738282.95326152,1754613
"51",18,8,"東京","新千歳","ANA",15461.1949021784,16750,6129.10650976875,6078,0.358041613296327,0.354795573291508,1731265.82393434,1715570
"52",18,8,"東京","新千歳","SKY",8567.10251890054,10850,663.841402705874,2903,0.0187839465968356,0.0821780974219999,90827.4445596204,397362
"53",18,8,"東京","新千歳","ADO",11771.4316216145,12950,1079.50096225439,3495,0.0385104548564953,0.124645322307924,186212.529162181,602707
"54",18,8,"成田","新千歳","JAL",15389.3420175186,16750,657.809095945206,638,0.0134793627886912,0.0130693042278408,65177.7873237305,63195
"55",18,8,"成田","新千歳","ANA",15761.2714007943,16750,335.172265583174,364,0.0065050062342548,0.00705901671348826,31454.1510249661,34133
"56",18,8,"成田","新千歳","IBX",13410.3787839153,16750,677.263650195167,361,0.00458010325595816,0.00243952073220366,22146.521361382,11796
"57",18,8,"東京","札幌","JR",0,11390,1,1,0.200606693124228,0.0529431423740367,970008.789372256,256000
"58",18,12,"成田","仙台","ANA",12657.5231119779,9050,309.619147530522,364,0.546661318130157,0.642522368981679,11547.1270228633,13572
"59",18,12,"成田","仙台","IBX",11338.8399461715,9050,454.910830267776,359,0.453338681869843,0.357477631018321,9575.87297713669,7551
"60",18,25,"東京","大阪","JAL",9625.43381660127,11250,3681.83131171649,5463,0.0339510332435476,0.0503481148871244,851392.301416638,1262583
"61",18,25,"東京","大阪","ANA",9431.96043990033,11250,3645.65336365107,5096,0.0377646226401205,0.0528132358067726,947025.934411397,1324401
"62",18,25,"東京","関西","JAL",11804.6461994268,11250,795.780259678261,2281,0.00346848435350163,0.00994773471505797,86979.4110527278,249460
"63",18,25,"東京","関西","ANA",11373.1620343482,11250,642.271379735682,1617,0.0038388165469844,0.00966241425531998,96266.2559106199,242305
"64",18,25,"東京","関西","SFJ",9692.50662980431,10350,557.611019092209,1455,0.00230221567677538,0.00600776023797999,57732.8144727309,150657
"65",18,25,"成田","大阪","JAL",10442.2665625784,11250,383.677920022122,729,0.00220808056883384,0.00419307426155835,55372.1821579638,105150
"66",18,25,"成田","大阪","ANA",10592.8842552176,11250,320.312826025947,637,0.00176058157363144,0.00349925306253929,44150.2203203396,87751
"67",18,25,"東京","神戸","JAL",11890.0821470826,11250,247.015778936198,727,0.00162839454312993,0.00479286532164488,40835.3574321092,120191
"68",18,25,"東京","神戸","ANA",11574.0541144274,11250,304.847277518511,816,0.00170872598527428,0.00457075002314864,42849.8343086382,114621
"69",18,25,"東京","神戸","SKY",7406.40157659457,5700,86.8866132782353,1895,0.000473441924377883,0.0103260485098217,11872.5343847912,258947
"70",18,25,"東京","新大阪","JR",0,7225,1,1,0.910895602943823,0.843838748919032,22842589.154132,21161000
"71",18,37,"東京","福岡","JAL",16551.0288969125,18350,6335.84949083907,6779,0.255283578580064,0.273188707821163,1426499.87459827,1526552
"72",18,37,"東京","福岡","ANA",16529.1446011466,18350,6035.62535188123,6414,0.27019561868265,0.287233511390588,1509826.90822364,1605033
