"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"49",18,25,"東京","大阪","ANA",9603.37703300513,11250,3473.54880164115,5096,0.0359818245541175,0.0528132358067726,902318.589144025,1324401
"50",18,25,"東京","関西","JAL",11280.8985628339,11250,935.79917853673,2281,0.00407877019981198,0.00994773471505797,102283.589499518,249460
"51",18,25,"東京","関西","ANA",12224.0094118946,11250,498.188355495569,1617,0.00297764116996523,0.00966241425531998,74670.5041435352,242305
"52",18,25,"東京","関西","SFJ",9691.62818647031,10350,559.732556303193,1455,0.00231097489432805,0.00600776023797999,57952.4699494074,150657
"53",18,25,"成田","大阪","JAL",10879.7614336264,11250,337.275044057424,729,0.00194103030764147,0.00419307426155835,48675.3451327253,105150
"54",18,25,"成田","大阪","ANA",11109.4145809979,11250,274.916711547044,637,0.00151106436366638,0.00349925306253929,37893.0607779098,87751
"55",18,25,"東京","神戸","JAL",12325.3868057635,11250,217.285146098633,727,0.00143240220415877,0.00479286532164488,35920.4446122349,120191
"56",18,25,"東京","神戸","ANA",12135.8223806512,11250,258.084436481995,816,0.00144661151840163,0.00457075002314864,36276.7725233178,114621
"57",18,25,"東京","神戸","SKY",7405.74996541955,5700,87.2112013234451,1895,0.00047521059256457,0.0103260485098217,11916.8873936408,258947
"58",18,25,"東京","新大阪","JR",0,7225,1,1,0.913867269790288,0.843838748919032,22917109.8397709,21161000
"59",18,37,"東京","福岡","JAL",16702.7297772963,18350,6020.7793622446,6779,0.242588796286454,0.273188707821163,1355562.66253547,1526552
"60",18,37,"東京","福岡","ANA",16522.0545753084,18350,6017.91389176525,6414,0.269402733331952,0.287233511390588,1505396.34179381,1605033
"61",18,37,"東京","福岡","SKY",9340.32746836809,10850,319.23743861666,3631,0.00928404951053465,0.10554764461731,51878.3681120651,589790
"62",18,37,"成田","福岡","JAL",18224.2725428564,18350,441.191075012818,787,0.00685809752572115,0.012240906830344,38322.3837382698,68401
"63",18,37,"成田","福岡","ANA",17854.8469271986,18350,457.064103103728,729,0.00551710693543662,0.00880544991564814,30829.0583958471,49204
"64",18,37,"東京","北九州","JAL",16614.5098870898,18350,1326.49692812652,1455,0.0210009677294555,0.0230277798308238,117351.370578327,128677
"65",18,37,"東京","北九州","SFJ",12302.7879254623,14800,1482.0465856649,3778,0.0268109745734122,0.068370370781311,149817.125251694,382047
"66",18,37,"東京","佐賀","ANA",18371.6853693165,18350,968.003952513982,1808,0.0121954771998949,0.0227632798922959,68147.1436317243,127199
"67",18,37,"東京","博多","JR",0,11475,1,1,0.406341796907139,0.198822348920516,2270598.5459628,1111000
"68",18,46,"東京","那覇","JAL",25899.4409563091,20400,4256.86713405735,4232,0.494609521954586,0.49157731537897,1287894.44444619,1279999
"69",18,46,"東京","那覇","ANA",25563.734969906,20400,4035.85274718853,3623,0.473198095559276,0.424837961780602,1232142.06630107,1106219
"70",18,46,"東京","那覇","SKY",12949.3372571281,12350,421.320359568727,1087,0.0243030107220515,0.0626761566765661,63281.6618017317,163200
"71",18,46,"成田","那覇","ANA",29139.6562779696,20400,137.79868979638,365,0.00788937176408578,0.020908566163862,20542.8274510042,54443
"72",25,8,"大阪","新千歳","JAL",21947.5968119265,20700,817.716439766332,786,0.166053475491872,0.151662297397419,172352.049870755,157415
"73",25,8,"大阪","新千歳","ANA",21132.7068386822,20700,596.851964542598,424,0.138548143856701,0.0984506677226135,143803.41350133,102185
"74",25,8,"関西","新千歳","JAL",22831.3393644159,20650,1196.13203866591,1465,0.186368167430488,0.228275289975923,193437.298389294,236934
"75",25,8,"関西","新千歳","ANA",22657.9448593227,20650,1273.34167928146,1481,0.192035272923262,0.223202698445272,199319.362860514,231669
"76",25,8,"神戸","新千歳","JAL",22631.5099228594,20700,969.262458662163,1085,0.151735364291781,0.169739606968093,157490.838394732,176178
"77",25,8,"神戸","新千歳","ANA",21434.3486122734,20700,1397.73728044177,1089,0.165259576005896,0.128669439490679,171528.036983376,133550
"78",25,12,"大阪","仙台","ANA",16661.4099638715,15400,1811.93992013573,2178,0.479943013210033,0.576878652402357,237678.338887899,285683
