"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"38",12,18,"仙台","成田","IBX",13334.2179326663,9050,508.663303148157,357,0.58094619799899,0.407402440659783,12996.3473954354,9114
"39",12,25,"仙台","大阪","ANA",16409.4886936772,15400,1850.55812270103,2174,0.491519301456384,0.577538372847157,245549.280467169,288522
"40",12,25,"仙台","大阪","JEX",15455.4066632276,15400,2468.80246797737,2174,0.459088670040631,0.404133938651486,229347.845069538,201894
"41",12,25,"仙台","大阪","IBX",12601.705975766,15400,1134.47698681808,421,0.0493920285029848,0.0183276885013572,24674.8744632931,9156
"42",12,37,"仙台","福岡","JAL",26378.0877480632,21750,803.813262846799,946,0.626508061123117,0.737812511177081,70066.1555237649,82514
"43",12,37,"仙台","福岡","ANA",24668.8750570722,21750,689.594617287557,484,0.373491938876884,0.262187488822919,41769.8444762352,29322
"44",18,3,"東京","函館","JAL",14605.2554782374,15700,1178.18515425323,1087,0.427287802379322,0.394088095171577,260005.05503562,239803
"45",18,3,"東京","函館","ANA",14807.640899113,15700,745.993822853375,731,0.295585620883327,0.28982039470765,179864.145893125,176356
"46",18,3,"東京","函館","ADO",10929.49059853,12100,270.883825252623,726,0.0707205327322062,0.18955104428752,43033.5148880802,115342
"47",18,3,"東京","新函館北斗","JR",0,9140,1,1,0.206406044005145,0.126540465833253,125598.284183174,77000
"48",18,8,"東京","新千歳","JAL",15861.7479488343,16750,7024.03345170518,6604,0.386261025247982,0.362870022930999,1867717.29121949,1754613
"49",18,8,"東京","新千歳","ANA",15846.7238316342,16750,6494.55629132192,6078,0.379389949984153,0.354795573291508,1834493.05879457,1715570
"50",18,8,"東京","新千歳","SKY",8580.51636297448,10850,787.295323744097,2903,0.0222771783393869,0.0821780974219999,107718.533489991,397362
"51",18,8,"東京","新千歳","ADO",11798.5600108561,12950,1274.950590161,3495,0.0454829859939365,0.124645322307924,219927.338883417,602707
"52",18,8,"成田","新千歳","JAL",16415.4347432447,16750,574.167895355976,638,0.0117654459490283,0.0130693042278408,56890.3549712286,63195
"53",18,8,"成田","新千歳","ANA",16603.6569407668,16750,309.284830904699,364,0.00600258422245933,0.00705901671348826,29024.7516872585,34133
"54",18,8,"成田","新千歳","IBX",13413.6302933476,16750,805.688416698462,361,0.00544859618487574,0.00243952073220366,26346.0112260397,11796
"55",18,8,"東京","札幌","JR",0,10500,1,1,0.143372234078178,0.0529431423740367,693258.659728004,256000
"56",18,12,"成田","仙台","ANA",16055.8489523316,9050,242.312384065824,364,0.427824985402837,0.642522368981679,9036.94716666412,13572
"57",18,12,"成田","仙台","IBX",13158.3847383908,9050,574.159279493391,359,0.572175014597163,0.357477631018321,12086.0528333359,7551
"58",18,25,"東京","大阪","JAL",9588.82412644432,11250,3739.24094838177,5463,0.0344804210177024,0.0503481148871244,864667.793568711,1262583
"59",18,25,"東京","大阪","ANA",9688.53522013366,11250,3388.05711859897,5096,0.035096232637687,0.0528132358067726,880110.542206632,1324401
"60",18,25,"東京","関西","JAL",11243.937405127,11250,947.141130130241,2281,0.0041282051803381,0.00994773471505797,103523.27376888,249460
"61",18,25,"東京","関西","ANA",12152.6060691021,11250,509.511082895768,1617,0.00304531641546467,0.00966241425531998,76367.6007414909,242305
"62",18,25,"東京","関西","SFJ",9692.30659897588,10350,560.098264112062,1455,0.00231248479679028,0.00600776023797999,57990.3338731064,150657
