OD,i,j,空港i,空港j,rk,k,航空会社,所要時間,費用,費用（多客期）,航空便数,滞在可能時間,アクセシビリティ指標,エアライン参入社数,DISk,cpma,Seatk,LFk
B-5,,,東京,釧路,,,,,,,,0,,,,,,
B-5,,,東京,釧路,,,,,,,,0,,,,,,
B-5,,,釧路,東京,,,,,,,,0,,,,,,
B-5,,,釧路,東京,,,,,,,,0,,,,,,
B-6,,,東京,とかち帯広,,,,,,,,0,,,,,,
B-6,,,とかち帯広,東京,,,,,,,,0,,,,,,
B-7,,,東京,旭川,,,JAL,100,39500,41600,4,665,,3,,,,
B-7,,,東京,旭川,,,ADO,100,31200,35500,3,675,,3,,,,
B-7,,,東京,旭川,,,SKY,100,21700,21700,2,525,,3,,,,
B-7,,,旭川,東京,,,JAL,100,39500,41600,4,375,,3,,,,
B-7,,,旭川,東京,,,ADO,100,31200,35500,3,380,,3,,,,
B-7,,,旭川,東京,,,SKY,100,21700,21700,2,140,,3,,,,
B-8,,,東京,函館,,,JAL,80,31400,33600,3,640,,3,,,,
B-8,,,東京,函館,,,ANA,80,31400,33600,2,425,,3,,,,
B-8,,,東京,函館,,,ADO,80,24200,28000,2,525,,3,,,,
B-8,,,函館,東京,,,JAL,80,31400,33600,3,375,,3,,,,
B-8,,,函館,東京,,,ANA,80,31400,33600,2,175,,3,,,,
B-8,,,函館,東京,,,ADO,80,24200,28000,2,280,,3,,,,
B-9,,,東京,青森,,,JAL,80,30100,32300,6,725,,1,,,,
B-9,,,青森,東京,,,JAL,80,30100,32300,6,620,,1,,,,
B-10,,,東京,三沢,,,JAL,80,29500,31700,3,585,,1,,,,
B-10,,,三沢,東京,,,JAL,80,29500,31700,3,350,,1,,,,
B-11,,,東京,大館,,,ANA,70,27900,30100,2,565,,1,,,,
B-11,,,大館,東京,,,ANA,70,27900,30100,2,355,,1,,,,
B-12,,,東京,秋田,,,JAL,70,24600,26800,3,660,,2,,,,
B-12,,,東京,秋田,,,ANA,70,24600,26800,4,480,,2,,,,
B-12,,,秋田,東京,,,JAL,70,24600,26800,3,430,,2,,,,
B-12,,,秋田,東京,,,ANA,70,24600,26800,4,700,,2,,,,
B-13,,,東京,庄内,,,ANA,60,20400,22600,4,585,,1,,,,
B-13,,,庄内,東京,,,ANA,60,20400,22600,4,725,,1,,,,
B-14,,,東京,山形,,,JAL,60,18200,20400,1,80,,1,,,,
B-14,,,山形,東京,,,JAL,60,18200,20400,1,0,,1,,,,
B-15,,,東京,大島,,,,,,,,0,,,,,,
B-15,,,大島,東京,,,,,,,,0,,,,,,
B-16,,,東京,三宅島,,,,,,,,0,,,,,,
B-16,,,三宅島,東京,,,,,,,,0,,,,,,
B-17,,,東京,八丈島,,,,,,,,0,,,,,,
B-17,,,八丈島,東京,,,,,,,,0,,,,,,
B-18,,,大島,八丈島,,,,,,,,0,,,,,,
B-18,,,八丈島,大島,,,,,,,,0,,,,,,
B-19,,,成田,仙台,,,ANA,60,18100,20300,2,0,,2,,,,
B-19,,,成田,仙台,,,IBX,60,18100,20300,2,270,,2,,,,
B-19,,,仙台,成田,,,ANA,60,18100,20300,2,450,,2,,,,
B-19,,,仙台,成田,,,IBX,60,18100,20300,2,0,,2,,,,
C-1,,,東京,富山,,,ANA,65,21900,24100,6,675,,1,,,,
C-1,,,富山,東京,,,ANA,65,21900,24100,6,705,,1,,,,
C-2,,,東京,能登,,,ANA,60,21900,24100,2,300,,1,,,,
C-2,,,能登,東京,,,ANA,60,21900,24100,2,90,,1,,,,
C-3,,,東京,小松,,,JAL,65,21900,24100,6,730,,2,,,,
C-3,,,東京,小松,,,ANA,65,21900,24100,5,590,,2,,,,
C-3,,,小松,東京,,,JAL,65,21900,24100,6,655,,2,,,,
C-3,,,小松,東京,,,ANA,65,21900,24100,5,595,,2,,,,
C-4,,,羽田,南紀白浜,,,JAL,70,29000,31200,3,570,,1,,,,
C-4,,,南紀白浜,羽田,,,JAL,70,29000,31200,3,330,,1,,,,
C-5,,,東京,鳥取,,,,,,,,0,,,,,,
C-5,,,鳥取,東京,,,,,,,,0,,,,,,
C-6,,,東京,米子,,,,,,,,0,,,,,,
C-6,,,米子,東京,,,,,,,,0,,,,,,
C-7,,,東京,出雲,,,,,,,,0,,,,,,
C-7,,,出雲,東京,,,,,,,,0,,,,,,
C-8,,,東京,石見,,,ANA,90,35800,37900,2,35,,1,,,,
C-8,,,石見,東京,,,ANA,90,35800,37900,2,0,,1,,,,
C-9,,,東京,岡山,,,JAL,80,30100,32300,4,615,,2,,,,
C-9,,,東京,岡山,,,ANA,80,30100,32300,5,635,,2,,,,
C-9,,,岡山,東京,,,JAL,80,30100,32300,4,650,,2,,,,
C-9,,,岡山,東京,,,ANA,80,30100,32300,5,655,,2,,,,
C-10,,,東京,広島,,,JAL,80,30100,30100,7,670,,2,,,,
C-10,,,東京,広島,,,ANA,80,30100,30100,8,745,,2,,,,
C-10,,,広島,東京,,,JAL,80,30100,30100,7,635,,2,,,,
C-10,,,広島,東京,,,ANA,80,30100,30100,8,640,,2,,,,
C-11,,,東京,山口宇部,,,JAL,100,34600,36700,3,605,,2,,,,
C-11,,,東京,山口宇部,,,ANA,100,34600,36700,5,655,,2,,,,
C-11,,,山口宇部,東京,,,JAL,100,34600,36700,3,330,,2,,,,
C-11,,,山口宇部,東京,,,ANA,100,34600,36700,5,575,,2,,,,
C-12,,,東京,徳島,,,,,,,,0,,,,,,
C-12,,,徳島,東京,,,,,,,,0,,,,,,
C-13,,,東京,高松,,,,,,,,0,,,,,,
C-13,,,東京,高松,,,,,,,,0,,,,,,
C-13,,,高松,東京,,,,,,,,0,,,,,,
