i,j,207ゾーンi,207ゾーンj,47ゾーンi,47ゾーンj,207ゾーン名i,207ゾーン名j,最寄りi,最寄りj
2,22,31,141,11,18,盛岡,横浜,花巻,羽田
2,23,31,144,11,18,盛岡,小田原,花巻,羽田
2,24,31,151,11,20,盛岡,新潟,花巻,新潟
2,25,31,152,11,20,盛岡,長岡,花巻,新潟
2,26,31,154,11,20,盛岡,三条・燕,花巻,新潟
2,27,31,155,11,20,盛岡,魚沼,花巻,新潟
2,28,31,201,11,18,盛岡,長野,花巻,羽田
2,29,31,203,11,24,盛岡,上田,花巻,名古屋
2,30,31,211,11,24,盛岡,岐阜,花巻,名古屋
2,31,31,221,11,18,盛岡,中部,花巻,羽田
2,32,31,222,11,24,盛岡,西部,花巻,名古屋
2,33,31,223,11,18,盛岡,東部,花巻,羽田
2,34,31,231,11,24,盛岡,名古屋,花巻,名古屋
2,35,31,232,11,24,盛岡,東三河,花巻,名古屋
2,36,31,233,11,24,盛岡,豊田,花巻,名古屋
2,37,31,252,11,25,盛岡,東北部,花巻,関西国際
2,38,31,261,11,25,盛岡,京都,花巻,関西国際
2,39,31,271,11,25,盛岡,大阪,花巻,関西国際
2,40,31,281,11,25,盛岡,神戸,花巻,関西国際
2,41,31,283,11,25,盛岡,播磨,花巻,関西国際
2,42,31,331,11,30,盛岡,県南,花巻,岡山
2,43,31,341,11,31,盛岡,広島,花巻,広島
2,44,31,342,11,31,盛岡,備後,花巻,広島
2,45,31,351,11,32,盛岡,山口,花巻,山口宇部
2,46,31,352,11,32,盛岡,下関,花巻,山口宇部
2,47,31,353,11,32,盛岡,宇部,花巻,山口宇部
2,48,31,354,11,32,盛岡,岩国,花巻,山口宇部
2,49,31,355,11,32,盛岡,徳山,花巻,山口宇部
2,50,31,401,11,37,盛岡,福岡,花巻,福岡
2,51,31,402,11,37,盛岡,北九州,花巻,福岡
2,52,31,432,11,41,盛岡,八代・芦北,花巻,熊本
2,53,31,461,11,44,盛岡,鹿児島,花巻,鹿児島
2,54,31,462,11,44,盛岡,川北薩・串木野,花巻,鹿児島
3,1,32,22,11,10,北上中部,南部,花巻,三沢
3,2,32,31,11,11,北上中部,盛岡,花巻,花巻
3,3,32,32,11,11,北上中部,北上中部,花巻,花巻
3,4,32,33,11,11,北上中部,両磐,花巻,花巻
