"","X.1","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","prob","y","utility","sumexputility","Probability"
"48",109,109,2,1,31,22,11,10,"盛岡","南部","盛岡","八戸","盛岡駅八戸駅",133,133,36,3320,1,1008,1.524693,1,0,0.999,6.90675477864855,7.71999715098664,5765.74839778623,0.390747741044502
"49",117,117,2,5,31,41,11,12,"盛岡","仙台","盛岡","仙台","盛岡駅仙台駅",524,524,74,6700,1,932,1.524693,1,0,0.999,6.90675477864855,7.07092708558368,14552.4889608402,0.0808960537886321
"50",119,119,2,6,31,43,11,12,"盛岡","古川","盛岡","くりこま高原","盛岡駅くりこま高原駅",1,1,50,3880,1,980,1.524693,1,0,0.999,6.90675477864855,7.41723805086209,14552.4889608402,0.114374254926819
"51",121,121,2,7,31,51,11,13,"盛岡","秋田臨海","盛岡","秋田","盛岡駅秋田駅",69,69,95,4540,1,890,1.524693,1,0,0.999,6.90675477864855,6.33823257259831,1166.87268603828,0.484881882639981
"52",123,123,2,8,31,61,11,15,"盛岡","山形","盛岡","山形","盛岡駅山形駅",27,27,171,6040,1,738,1.524693,1,0,0.999,6.90675477864855,4.55169116235227,401.611736593348,0.236030409089463
"53",125,125,2,9,31,63,11,12,"盛岡","米沢","盛岡","米沢","盛岡駅米沢駅",3,3,137,8000,1,806,1.524693,1,0,0.999,6.90675477864855,5.59523175081847,14552.4889608402,0.0184944319152947
"54",127,127,2,10,31,64,11,12,"盛岡","新庄","盛岡","新庄","盛岡駅新庄駅",1,1,219,3880,1,642,1.524693,1,0,0.999,6.90675477864855,3.13482398851923,14552.4889608402,0.00157942672185651
"55",129,129,2,11,31,71,11,12,"盛岡","福島","盛岡","福島","盛岡駅福島駅",21,21,101,9500,1,878,1.524693,1,0,0.999,6.90675477864855,6.64673989668131,14552.4889608402,0.0529304006404766
"56",131,131,2,12,31,73,11,17,"盛岡","郡山","盛岡","郡山","盛岡駅郡山駅",31,31,116,10800,1,848,1.524693,1,0,0.999,6.90675477864855,6.3873515145342,3886.32904945559,0.152915654490747
"57",133,133,2,13,31,76,11,17,"盛岡","白河","盛岡","新白河","盛岡駅新白河駅",1,1,85,11880,1,910,1.524693,1,0,0.999,6.90675477864855,7.27316319870753,3886.32904945559,0.370813105054936
"58",135,135,2,14,31,91,11,18,"盛岡","宇都宮","盛岡","宇都宮","盛岡駅宇都宮駅",9,9,143,14040,1,794,1.524693,1,0,0.999,6.90675477864855,6.00401918550895,21318.4402414322,0.0190001476140176
"59",137,137,2,15,31,93,11,18,"盛岡","栃木・小山","盛岡","小山","盛岡駅小山駅",1,1,42,14680,1,996,1.524693,1,0,0.999,6.90675477864855,8.62275698237321,21318.4402414322,0.260651572752568
"60",139,139,2,16,31,95,11,18,"盛岡","那須","盛岡","那須塩原","盛岡駅那須塩原駅",4,4,70,12520,1,940,1.524693,1,0,0.999,6.90675477864855,7.71268437213104,21318.4402414322,0.10491095417902
"61",141,141,2,17,31,101,11,18,"盛岡","前橋・高崎","盛岡","高崎","盛岡駅高崎駅",19,19,173,14040,1,734,1.524693,1,0,0.999,6.90675477864855,5.24382734012264,21318.4402414322,0.00888402662429152
