"","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob","i","j","出発空港/駅","到着空港/駅","航空・鉄道会社","運賃（実績）","運賃（ベース）","運賃（反実仮想）","航空便数（実績）","航空便数（ベース）","航空便数（反実仮想）","シェア（実績）","シェア（ベース）","シェア（反実仮想）","需要（実績）","需要（ベース）","需要（反実仮想）"
"13","新千歳","仙台","JAL",116309,65,28400,4,655,56.355039,3,0,154.187718073971,262.838101884159,344107,664,154.187718073971,1433,7304,52.6,0.338002423664732,8,12,"新千歳","仙台","JAL",14200,13063.8331200866,12388.8577253346,1433,1238.64631131651,1511.7827514469,0.338002423664732,0.291937128206125,0.356312783477209,116309,100457.609375625,122609.722983992
"14","新千歳","仙台","ANA",105860,65,28400,3,340,56.355039,3,0,172.162812210916,714.54394079556,344107,664,172.162812210916,1081,7304,56.9,0.307636868764658,8,12,"新千歳","仙台","ANA",14200,12550.1400046185,13083.5458729201,1081,1090.29371907782,923.044809230533,0.307636868764658,0.31038563781097,0.26277309208334,105860,106805.870670219,90422.0603975219
"15","新千歳","仙台","ADO",110938,65,27400,4,560,56.355039,3,0,126,67.1065877128053,344107,664,126,1351,5976,65.2,0.32239390654651,8,12,"新千歳","仙台","ADO",13700,11403.1794724519,11396.0252760067,1351,1424.43267910768,1420.32343799948,0.32239390654651,0.340068622417023,0.339087583450884,110938,117019.993454054,116682.411078533
"16","札幌","仙台","JR",11000,497,17930,1,636,2.057914,0,1,0,0,344107,NA,NA,NA,NA,NA,0.0319668010241001,8,12,"札幌","仙台","JR",17930,17930,16800,1,1,1,0.0319668010241001,0.0576086115658825,0.0418265409885666,11000,19823.5265001011,14392.8055399527
"17","新千歳","東京","JAL",1809380,90,33500,18,665,58.783124,4,0,444.517204790056,6840.53615279673,4893273,894,444.517204790056,6597,9834,61.7,0.369768864316379,8,18,"新千歳","東京","JAL",16750,15538.045473612,15938.5763687447,6597,6630.47965137342,6953.84490979153,0.369768864316379,0.371637251264194,0.389761818733147,1809380,1818522.52740529,1907210.9840378
"18","新千歳","東京","ANA",1750844,90,33500,16,680,58.783124,4,0,460.494653725942,6806.86691890114,4893273,894,460.494653725942,6079,9834,62.5,0.357806319001617,8,18,"新千歳","東京","ANA",16750,15502.9015650152,15856.7374803373,6079,6179.84243289944,6573.49482969631,0.357806319001617,0.363481712702688,0.386635288048801,1750844,1778615.25076182,1891912.01585642
"19","新千歳","東京","SKY",396256,90,21700,9,585,58.783124,4,0,177,0,4893273,894,177,2894,4917,77.4,0.0809797450499901,8,18,"新千歳","東京","SKY",10850,8567.4723028375,8579.55643435684,2894,673.778799899604,794.813984445289,0.0809797450499901,0.0188639276877963,0.0222525753705211,396256,92306.348028646,108887.926241036
"20","新千歳","東京","ADO",598819,90,25900,10,680,58.783124,4,0,243.381416690565,1077.45196443935,4893273,894,243.381416690565,3487,8046,70.6,0.122375963899827,8,18,"新千歳","東京","ADO",12950,11771.9600974658,11797.7011598237,3487,1097.32593523561,1289.10519852867,0.122375963899827,0.0385325999441259,0.0452669287271818,598819,188550.530926393,221503.440133643
"21","新千歳","成田","JAL",65119,105,33500,2,525,104.604254,3,0,179.305642633229,32.2100313479624,4893273,892,179.305642633229,638,9812,56.9,0.0133078616296291,8,18,"新千歳","成田","JAL",16750,15511.4400868099,15774.044602695,638,646.699574711498,707.156370360125,0.0133078616296291,0.0134837084161676,0.0147442346886112,65119,65979.4663327059,72147.5655074446
"22","新千歳","成田","ANA",25842,105,33500,1,575,104.604254,3,0,165.494475138122,1.93646408839779,4893273,892,165.494475138122,362,9812,43.1,0.00528112778502242,8,18,"新千歳","成田","ANA",16750,15808.7537175145,16779.5615568666,362,335.50128997076,296.074766192251,0.00528112778502242,0.00489052539341207,0.00431581399444973,25842,23930.6758633976,21118.456092063
"23","新千歳","成田","IBX",14013,105,33500,1,0,104.604254,3,0,50,0,4893273,892,50,357,9812,78.5,0.00286372740699323,8,18,"新千歳","成田","IBX",16750,13413.7119636092,13417.2308358207,357,682.593603799511,807.30273711175,0.00286372740699323,0.00547523078093758,0.00647554968456413,14013,26791.7989491308,31686.6324316362
"24","札幌","東京","JR",233000,598,22780,1,452,7.452543,0,1,0,0,4893273,NA,NA,NA,NA,NA,0.0476163909105419,8,18,"札幌","東京","JR",22780,22780,21000,1,1,1,0.0476163909105419,0.183635043810679,0.130547790752724,233000,898576.401732613,638805.979699953
"25","新千歳","大阪","JAL",159098,110,41400,2,485,54.177172,2,0,271.382653061225,4179.46683673469,1114939,1161,271.382653061225,784,12771,77.3,0.142696595957268,8,25,"新千歳","大阪","JAL",20700,17966.5845065922,17103.8217072551,784,473.21129862504,340.668786572556,0.142696595957268,0.0890359867456289,0.0640977543310047,159098,99269.6940261847,71465.0861160561
"26","新千歳","大阪","ANA",99150,110,41400,1,0,54.177172,2,0,300.64858490566,3800.3608490566,1114939,1161,300.64858490566,424,12771,77.8,0.0889286319700002,8,25,"新千歳","大阪","ANA",20700,17621.3117866076,17453.6169836188,424,294.444427847537,171.751984578342,0.0889286319700002,0.0617719048666602,0.0360320870379215,99150,68871.9058401292,40173.5790899731
"27","新千歳","関西","JAL",230816,110,41300,4,525,77.423601,2,0,230.550546448087,2247.16393442623,1114939,1309,230.550546448087,1464,14399,68.4,0.207021191293873,8,25,"新千歳","関西","JAL",20650,19257.5774553668,18766.4457216352,1464,601.079397896667,386.679985676537,0.207021191293873,0.0850164552610809,0.0546918790057686,230816,94788.1616123343,60978.1088868126
"28","新千歳","関西","ANA",235646,110,41300,4,270,77.423601,2,0,215.215395003376,2090.26130992573,1114939,1309,215.215395003376,1481,14399,73.9,0.211353266860339,8,25,"新千歳","関西","ANA",20650,19161.9946563564,18823.6996744603,1481,626.354940320277,384.722247332275,0.211353266860339,0.0893484808901488,0.054879982819655,235646,99618.1059351816,61187.8331649634
"29","新千歳","神戸","JAL",174514,115,41400,3,125,68.293435,2,0,233.766605166052,2210.74723247232,1114939,1251,233.766605166052,1084,13761,68.9,0.156523361367752,8,25,"新千歳","神戸","JAL",20700,18608.7508665414,18223.0626758735,1084,558.154442454217,347.78579813292,0.156523361367752,0.080631542944261,0.0502414804659712,174514,89899.2518587314,56016.1859892494
"30","新千歳","神戸","ANA",141715,115,41400,3,305,68.293435,2,0,182.922294172063,983.197039777983,1114939,1251,182.922294172063,1081,13761,71.7,0.127105608468266,8,25,"新千歳","神戸","ANA",20700,18569.0474697132,19972.2242820354,1081,563.346964805703,204.247102311554,0.127105608468266,0.0662690350581336,0.0240265044975876,141715,73885.9316786805,26788.0868980358
"31","札幌","新大阪","JR",74000,748,32410,1,152,5.75576,0,1,0,0,1114939,NA,NA,NA,NA,NA,0.0663713440825014,8,25,"札幌","新大阪","JR",32410,32410,35450,1,1,1,0.0663713440825014,0.527926594234087,0.716030311842091,74000,588605.949048758,798330.119854909
"32","新千歳","福岡","JAL",119560,145,51100,2,105,43.668941,2,0,230.931318681319,1662.84340659341,230475,1614,230.931318681319,728,17754,71.1,0.518754745634017,8,37,"新千歳","福岡","JAL",25550,105884.437883772,22088.4712838589,728,1,215.637456921184,0.518754745634017,1.81061964984197e-11,0.153621787455687,119560,4.17302563797328e-06,35405.9814638494
"33","新千歳","福岡","ANA",102915,145,51100,1,0,43.668941,2,0,401.44474393531,5366.7628032345,230475,1614,401.44474393531,371,17754,69.1,0.446534331272372,8,37,"新千歳","福岡","ANA",25550,22999.0089637031,22557.2659294203,371,233.811144887218,95.3291733255312,0.446534331272372,0.281413681897097,0.11473761727947,102915,64858.8183352334,26444.1523424858
"34","札幌","博多","JR",8000,898,40480,1,0,2.412527,0,1,0,0,230475,NA,NA,NA,NA,NA,0.034710923093611,8,37,"札幌","博多","JR",40480,40480,43950,1,1,1,0.034710923093611,0.718586318084797,0.731640595264843,8000,165616.181660594,168624.866193665
"35","仙台","新千歳","JAL",117426,65,28400,4,440,56.355039,3,0,154.101186322401,232.587578506629,342089,664,154.101186322401,1433,7304,53.2,0.343261548895171,12,8,"仙台","新千歳","JAL",14200,13128.1995598887,12586.4479219724,1433,1226.30330003645,1452.04266196502,0.343261548895171,0.293884310953583,0.347982882517002,117426,100534.5900498,119041.116297359
