"第4表  国内定期航空路線別, 区間別, 月別運航及び運送実績",,,,,,,,,,,,,,,,,,,,,
（平成２１年）,,,,,,,,,,,,,,,,,,,,,
空港i,空港j,航空会社,運航回数,運航キロメートル,運航時間,旅客数,座席数,,人キロメートル,座席キロメートル,座席利用率,貨物,超過手荷物,郵便物,旅客,貨物,超過手荷物,郵便物,計,"利用可能
トンキロメートル",重量利用率(%)
福岡,成田,JAL,790,"874,530","1,387:34","73,111","116,299",147,"80,933,877","128,742,993",62.9,"10,285",549,"463,637","6,070,041","11,384",607,"513,246","6,595,278","13,969,676",47.2
成田,福岡,ANA,729,"807,003","1,533:18","49,204","89,565",123,"54,468,828","99,148,455",54.9,"5,005","2,324","18,277","4,085,163","5,540","2,572","20,233","4,113,508","11,313,451",36.4
福岡,成田,ANA,730,"808,110","1,304:12","52,552","89,637",123,"58,175,064","99,228,159",58.6,"9,056","1,188","191,600","4,363,130","10,025","1,315","212,101","4,586,571","11,320,209",40.5
成田,那覇,JAL,3,"5,661",9:13,0,0,0,0,0,0,"33,570",0,"7,354",0,"63,347",0,"13,877","77,224","400,611",19.3
那覇,成田,JAL,4,"7,548",8:54,0,0,0,0,0,0,"131,728",0,0,0,"248,571",0,0,"248,571","499,489",49.8
成田,那覇,ANA,365,"688,755","1,075:50","54,443","78,519",215,"102,733,941","148,165,353",69.3,"57,773","3,002","1,052,427","7,705,046","109,020","5,665","1,985,931","9,805,662","31,096,400",31.5
那覇,成田,ANA,364,"686,868",897:41:00,"58,693","78,303",215,"110,753,691","147,757,761",75,"3,148","1,188","607,050","8,306,526","5,941","2,242","1,145,504","9,460,213","31,011,157",30.5
大阪,新千歳,JAL,786,912546,58.68472222,157415,213764,509,182758815,248180004,77.5,3228958,856,319507,13706912,3748821,992,370949,17827674,29253318,64.5
新千歳,大阪,JAL,784,"910,224",62,"159,098","212,764",508,"184,712,778","247,019,004",77.3,"3,276,702",868,"1,337","13,853,461","3,804,252","1,007","1,552","17,660,272","29,580,258",63.15
大阪,新千歳,ANA,424,"492,264",762:59:00,"102,185","128,177",302,"118,636,785","148,813,497",79.7,"1,555,494","1,858","157,664","8,897,759","1,805,928","2,158","183,048","10,888,893","28,700,981",37.9
新千歳,大阪,ANA,424,"492,264",810:53:00,"99,150","127,475",301,"115,113,150","147,998,475",77.8,"1,611,353","1,922","15,021","8,633,486","1,870,782","2,230","17,440","10,523,938","28,482,624",36.9
大阪,福岡,JAL,896,517888,43.85763889,86430,129360,201,49956540,74770080,69.2,790057,504,115787,3746740,456654,292,66924,4270610,8098747,55.9
福岡,大阪,JAL,897,518466,39.61041667,79190,129821,202,45771820,75036538,71.05,586098,461,81752,3432888,338765,266,47253,3819172,8130362,56.95
大阪,福岡,ANA,"2,585","1,494,130","3,296:16","286,928","403,613",156,"165,844,384","233,288,314",71.1,"3,808,755","2,864",730,"12,438,330","2,201,459","1,657",423,"14,641,869","36,347,628",40.3
福岡,大阪,ANA,"2,581","1,491,818","2,964:08","286,273","403,363",156,"165,465,794","233,143,814",71,"3,393,236","2,649","430,711","12,409,937","1,961,289","1,531","248,951","14,621,708","36,343,777",40.2
大阪,福岡,JAC,710,"410,380",902:42:00,"37,593","52,540",74,"21,728,754","30,368,120",71.6,"44,395",225,84,"1,629,656","25,662",130,49,"1,655,497","2,911,238",56.9
福岡,大阪,JAC,703,"406,334",778:29:00,"38,401","52,022",74,"22,195,778","30,068,716",73.8,"72,601",229,0,"1,664,685","41,962",132,0,"1,706,779","2,882,534",59.2
大阪,那覇,JAL,428,"558,112",909:11:00,"140,677","197,867",462,"183,442,808","258,018,568",71.1,"3,882,909","1,055","1,962","13,758,211","5,063,314","1,378","2,558","18,825,461","31,250,361",60.2
那覇,大阪,JAL,427,"556,808",790:02:00,"134,550","197,606",463,"175,453,200","257,678,224",68.1,"3,180,893","1,008","58,689","13,158,990","4,147,884","1,315","76,532","17,384,721","31,599,832",55
大阪,那覇,ANA,426,"555,504",919:01:00,"156,335","203,749",478,"203,860,840","265,688,696",76.7,"3,739,216","3,696","5,128","15,289,563","4,875,937","4,820","6,686","20,177,006","58,627,343",34.4
那覇,大阪,ANA,426,"555,504",787:54:00,"145,413","203,635",478,"189,618,552","265,540,040",71.4,"2,294,962","2,836",588,"14,221,391","2,992,629","3,698",767,"17,218,485","58,590,952",29.4
関西,新千歳,JAL,"1,465","1,917,685","2,659:57","236,934","338,939",231,"310,146,606","443,671,151",69.9,"3,588,020","1,421","239,004","23,260,995","4,696,718","1,861","312,855","28,272,429","54,223,232",52.1
新千歳,関西,JAL,"1,464","1,916,376","3,185:43","230,816","337,526",231,"302,138,144","441,821,534",68.4,"3,289,848","1,383","39,420","22,660,361","4,306,413","1,811","51,603","27,020,188","54,089,188",50
関西,新千歳,ANA,"1,481","1,938,629","2,704:54","231,669","317,568",214,"303,254,721","415,696,512",73,"2,967,117","4,071","26,918","22,744,105","3,883,957","5,328","35,235","26,668,625","70,027,220",38.1
新千歳,関西,ANA,"1,481","1,938,629","3,216:52","235,646","318,734",215,"308,460,614","417,222,806",73.9,"3,095,677","3,823","101,755","23,134,546","4,052,240","5,006","133,198","27,324,990","70,394,728",38.8
関西,福岡,JAL,1110,613830,,43976,69065,115,24318728,38192945,72,134696,218,3767,1823903,74487,123,2083,1900596,3609122,59.55
福岡,関西,JAL,1110,613830,46.93194444,46002,69114,115,25439106,38220042,74.9,11871,225,15569,1907932,6565,124,8610,1923231,3610780,60.9
関西,福岡,ANA,"1,327","733,831","1,664:37","62,171","104,101",78,"34,380,563","57,567,853",59.7,"31,716","1,642","2,671","2,578,543","17,541",909,"1,476","2,598,469","5,450,029",47.7
福岡,関西,ANA,"1,328","734,384","1,432:54","68,597","104,373",79,"37,934,141","57,718,269",65.7,"4,527","1,430","13,860","2,845,061","2,505",792,"7,665","2,856,023","5,477,249",52.1
関西,那覇,JAL,"1,473","1,857,453","3,118:54","217,810","330,837",225,"274,658,410","417,185,457",65.8,"4,071,928","1,634","507,652","20,599,380","5,134,699","2,059","640,149","26,376,287","49,856,032",52.9
那覇,関西,JAL,"1,471","1,854,931","2,698:34","226,618","333,495",227,"285,765,298","420,537,195",68,"4,313,215","1,700","247,207","21,432,399","5,438,965","2,143","311,726","27,185,233","50,120,085",54.2
関西,那覇,ANA,"1,565","1,973,465","3,321:23","227,843","381,746",244,"287,310,023","481,381,706",59.7,"8,111,928","4,020","394,352","21,548,252","10,229,141","5,070","497,278","32,279,741","92,750,596",34.8
那覇,関西,ANA,"1,552","1,957,072","2,855:43","240,932","381,682",246,"303,815,252","481,301,002",63.1,"6,009,362","3,375","308,331","22,786,145","7,577,806","4,257","388,805","30,757,013","91,836,108",33.5
関西,那覇,JTA,90,"113,490",201:01:00,"7,444","13,405",149,"9,386,884","16,903,705",55.5,"46,294",0,"2,467","704,017","58,376",0,"3,111","765,504","1,546,868",49.5
那覇,関西,JTA,90,"113,490",160:13:00,"7,033","13,470",150,"8,868,613","16,985,670",52.2,"5,853",0,"30,176","665,146","7,380",0,"38,053","710,579","1,546,868",45.9
福岡,新千歳,JAL,729,"1,176,606","1,595:57","120,647","168,230",231,"194,724,258","271,523,220",71.7,"2,429,707",723,"310,569","14,604,319","3,921,548","1,167","501,257","19,028,291","31,765,296",59.9
新千歳,福岡,JAL,728,"1,174,992","1,812:12","119,560","168,118",231,"192,969,840","271,342,452",71.1,"1,210,550",718,"34,315","14,472,740","1,953,828","1,157","55,384","16,483,109","31,636,500",52.1
福岡,新千歳,ANA,372,"600,408",806:15:00,"104,315","149,517",402,"168,364,410","241,320,438",69.8,"1,780,381","2,122","85,978","12,627,331","2,873,535","3,425","138,771","15,643,062","51,590,249",30.3
