"","i","j","207ゾーンi","207ゾーンj","47ゾーンi","47ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","路線距離","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物"
"73",3,5,32,41,11,12,"北上中部","仙台",NA,NA,NA,NA,19.223373,0,NA,0,147,969,0,0,0,0
"74",3,6,32,43,11,12,"北上中部","古川",NA,NA,NA,NA,70.010107,0,NA,0,4,189,0,0,0,0
"75",3,9,32,63,11,12,"北上中部","米沢",NA,NA,NA,NA,79.224845,0,NA,0,1,5,0,0,0,0
"76",3,10,32,64,11,12,"北上中部","新庄",NA,NA,NA,NA,92.43862,0,NA,0,0,3,0,0,0,0
"77",3,11,32,71,11,12,"北上中部","福島",NA,NA,NA,NA,55.9125035,0,NA,0,11,52,0,0,0,0
"78",4,10,33,64,11,12,"両磐","新庄",NA,NA,NA,NA,142.47991,0,NA,0,0,2,0,0,0,0
"79",4,11,33,71,11,12,"両磐","福島",NA,NA,NA,NA,105.9537935,0,NA,0,1,18,0,0,0,0
"80",2,5,31,41,11,12,"盛岡","仙台",NA,NA,NA,NA,46.508251,0,NA,0,524,629,0,0,0,0
"81",2,6,31,43,11,12,"盛岡","古川",NA,NA,NA,NA,97.294985,0,NA,0,1,121,0,0,0,0
"82",4,7,33,51,11,13,"両磐","秋田臨海",NA,NA,NA,NA,69.303203,0,NA,0,0,26,0,0,0,0
"83",2,7,31,51,11,13,"盛岡","秋田臨海",NA,NA,NA,NA,46.546791,0,NA,0,69,376,0,0,0,0
"84",3,7,32,51,11,13,"北上中部","秋田臨海",NA,NA,NA,NA,19.261913,0,NA,0,1,230,0,0,0,0
"85",4,8,33,61,11,15,"両磐","山形",NA,NA,NA,NA,71.342964,0,NA,0,2,33,0,0,0,0
"86",2,8,31,61,11,15,"盛岡","山形",NA,NA,NA,NA,48.586552,0,NA,0,27,116,0,0,0,0
"87",3,8,32,61,11,15,"北上中部","山形",NA,NA,NA,NA,21.301674,0,NA,0,1,50,0,0,0,0
"88",3,12,32,73,11,17,"北上中部","郡山",NA,NA,NA,NA,25.8006735,0,NA,0,2,22,0,0,0,0
"89",3,13,32,76,11,17,"北上中部","白河",NA,NA,NA,NA,27.4863585,0,NA,0,0,5,0,0,0,0
"90",4,12,33,73,11,17,"両磐","郡山",NA,NA,NA,NA,75.8419635,0,NA,0,1,9,0,0,0,0
"91",4,13,33,76,11,17,"両磐","白河",NA,NA,NA,NA,77.5276485,0,NA,0,0,1,0,0,0,0
"92",2,12,31,73,11,17,"盛岡","郡山",NA,NA,NA,NA,53.0855515,0,NA,0,31,60,0,0,0,0
"93",2,13,31,76,11,17,"盛岡","白河",NA,NA,NA,NA,54.7712365,0,NA,0,1,3,0,0,0,0
"94",3,20,32,113,11,18,"北上中部","児玉・大里",NA,NA,NA,NA,79.352539,0,NA,0,4,5,0,0,0,0
"95",3,28,32,201,11,18,"北上中部","長野",NA,NA,NA,NA,192.163393,0,NA,0,1,2,0,0,0,0
"96",2,17,31,101,11,18,"盛岡","前橋・高崎",NA,NA,NA,NA,144.933577,0,NA,0,19,21,0,0,0,0
"97",2,18,31,104,11,18,"盛岡","沼田・利根",NA,NA,NA,NA,170.008941,0,NA,0,0,0,0,0,0,0
"98",2,20,31,113,11,18,"盛岡","児玉・大里",NA,NA,NA,NA,106.637417,0,NA,0,5,6,0,0,0,0
"99",2,14,31,91,11,18,"盛岡","宇都宮",NA,NA,NA,NA,128.20561233,0,NA,0,9,16,0,0,0,0
"100",2,15,31,93,11,18,"盛岡","栃木・小山",NA,NA,NA,NA,118.49993381,0,NA,0,1,5,0,0,0,0
"101",2,16,31,95,11,18,"盛岡","那須",NA,NA,NA,NA,179.283336,0,NA,0,4,13,0,0,0,0
"102",3,17,32,101,11,18,"北上中部","前橋・高崎",NA,NA,NA,NA,117.648699,0,NA,0,6,8,0,0,0,0
"103",3,18,32,104,11,18,"北上中部","沼田・利根",NA,NA,NA,NA,142.724063,0,NA,0,0,0,0,0,0,0
"104",3,33,32,223,11,18,"北上中部","東部",NA,NA,NA,NA,86.16683233,0,NA,0,4,4,0,0,0,0
"105",3,14,32,91,11,18,"北上中部","宇都宮",NA,NA,NA,NA,100.92073433,0,NA,0,5,16,0,0,0,0
"106",4,14,33,91,11,18,"両磐","宇都宮",NA,NA,NA,NA,150.96202433,0,NA,0,1,7,0,0,0,0
"107",3,19,32,111,11,18,"北上中部","浦和",NA,NA,NA,NA,40.812967,0,NA,0,40,63,0,0,0,0
"108",3,21,32,131,11,18,"北上中部","23区",NA,NA,NA,NA,22.696502,0,NA,0,146,170,0,0,0,0
"109",3,22,32,141,11,18,"北上中部","横浜",NA,NA,NA,NA,24.115562,0,NA,0,13,16,0,0,0,0
"110",3,23,32,144,11,18,"北上中部","小田原",NA,NA,NA,NA,63.94406117,0,NA,0,2,3,0,0,0,0
"111",2,28,31,201,11,18,"盛岡","長野",NA,NA,NA,NA,219.448271,0,NA,0,3,5,0,0,0,0
"112",4,17,33,101,11,18,"両磐","前橋・高崎",NA,NA,NA,NA,167.689989,0,NA,0,0,2,0,0,0,0
"113",4,18,33,104,11,18,"両磐","沼田・利根",NA,NA,NA,NA,192.765353,0,NA,0,0,0,0,0,0,0
"114",4,20,33,113,11,18,"両磐","児玉・大里",NA,NA,NA,NA,129.393829,0,NA,0,2,2,0,0,0,0
"115",2,19,31,111,11,18,"盛岡","浦和",NA,NA,NA,NA,68.097845,0,NA,0,87,112,0,0,0,0
"116",2,21,31,131,11,18,"盛岡","23区",NA,NA,NA,NA,49.98138,0,NA,0,477,530,0,0,0,0
"117",2,22,31,141,11,18,"盛岡","横浜",NA,NA,NA,NA,51.40044,0,NA,0,57,65,0,0,0,0
"118",2,23,31,144,11,18,"盛岡","小田原",NA,NA,NA,NA,91.22893917,0,NA,0,5,5,0,0,0,0
"119",2,31,31,221,11,18,"盛岡","中部",NA,NA,NA,NA,150.8139653,0,NA,0,7,7,0,0,0,0
"120",2,33,31,223,11,18,"盛岡","東部",NA,NA,NA,NA,113.45171033,0,NA,0,2,2,0,0,0,0
"121",3,31,32,221,11,18,"北上中部","中部",NA,NA,NA,NA,123.5290873,0,NA,0,0,0,0,0,0,0
"122",3,15,32,93,11,18,"北上中部","栃木・小山",NA,NA,NA,NA,91.21505581,0,NA,0,4,6,0,0,0,0
"123",4,28,33,201,11,18,"両磐","長野",NA,NA,NA,NA,242.204683,0,NA,0,0,1,0,0,0,0
"124",4,33,33,223,11,18,"両磐","東部",NA,NA,NA,NA,136.20812233,0,NA,0,1,1,0,0,0,0
"125",4,21,33,131,11,18,"両磐","23区",NA,NA,NA,NA,72.737792,0,NA,0,64,79,0,0,0,0
"126",4,22,33,141,11,18,"両磐","横浜",NA,NA,NA,NA,74.156852,0,NA,0,10,14,0,0,0,0
"127",3,16,32,95,11,18,"北上中部","那須",NA,NA,NA,NA,151.998458,0,NA,0,1,10,0,0,0,0
"128",4,19,33,111,11,18,"両磐","浦和",NA,NA,NA,NA,90.854257,0,NA,0,13,25,0,0,0,0
"129",4,23,33,144,11,18,"両磐","小田原",NA,NA,NA,NA,113.98535117,0,NA,0,0,0,0,0,0,0
"130",4,15,33,93,11,18,"両磐","栃木・小山",NA,NA,NA,NA,141.25634581,0,NA,0,0,2,0,0,0,0
"131",4,16,33,95,11,18,"両磐","那須",NA,NA,NA,NA,202.039748,0,NA,0,0,4,0,0,0,0
"132",4,31,33,221,11,18,"両磐","中部",NA,NA,NA,NA,173.5703773,0,NA,0,0,0,0,0,0,0
"133",3,27,32,155,11,20,"北上中部","魚沼",NA,NA,NA,NA,101.161397,0,NA,0,0,0,0,0,0,0
"134",2,27,31,155,11,20,"盛岡","魚沼",NA,NA,NA,NA,128.446275,0,NA,0,0,0,0,0,0,0
"135",3,26,32,154,11,20,"北上中部","三条・燕",NA,NA,NA,NA,41.819504,0,NA,0,0,0,0,0,0,0
"136",2,26,31,154,11,20,"盛岡","三条・燕",NA,NA,NA,NA,69.104382,0,NA,0,1,1,0,0,0,0
"137",4,27,33,155,11,20,"両磐","魚沼",NA,NA,NA,NA,151.202687,0,NA,0,1,1,0,0,0,0
"138",3,24,32,151,11,20,"北上中部","新潟",NA,NA,NA,NA,16.04647117,0,NA,0,0,6,0,0,0,0
"139",3,25,32,152,11,20,"北上中部","長岡",NA,NA,NA,NA,62.78095459,0,NA,0,0,2,0,0,0,0
"140",2,24,31,151,11,20,"盛岡","新潟",NA,NA,NA,NA,43.33134917,0,NA,0,7,16,0,0,0,0
"141",4,24,33,151,11,20,"両磐","新潟",NA,NA,NA,NA,66.08776117,0,NA,0,2,6,0,0,0,0
"142",4,25,33,152,11,20,"両磐","長岡",NA,NA,NA,NA,112.82224459,0,NA,0,3,3,0,0,0,0
"143",4,26,33,154,11,20,"両磐","三条・燕",NA,NA,NA,NA,91.860794,0,NA,0,0,0,0,0,0,0
"144",2,25,31,152,11,20,"盛岡","長岡",NA,NA,NA,NA,90.06583259,0,NA,0,2,4,0,0,0,0
"145",2,34,31,231,11,24,"盛岡","名古屋",NA,NA,NA,NA,62.596347,0,NA,0,13,14,787,150.32838038633,100.705794947994,0.50074294205052
"146",3,35,32,232,11,24,"北上中部","東三河",NA,NA,NA,NA,54.44988122,0,NA,0,0,0,787,150.32838038633,100.705794947994,0.50074294205052
"147",4,34,33,231,11,24,"両磐","名古屋",NA,NA,NA,NA,85.352759,0,NA,0,1,1,787,150.32838038633,100.705794947994,0.50074294205052
"148",2,32,31,222,11,24,"盛岡","西部",NA,NA,NA,NA,103.168367,0,NA,0,6,6,787,150.32838038633,100.705794947994,0.50074294205052
"149",4,32,33,222,11,24,"両磐","西部",NA,NA,NA,NA,125.924779,0,NA,0,0,0,787,150.32838038633,100.705794947994,0.50074294205052
"150",2,35,31,232,11,24,"盛岡","東三河",NA,NA,NA,NA,81.73475922,0,NA,0,0,19,787,150.32838038633,100.705794947994,0.50074294205052
"151",3,36,32,233,11,24,"北上中部","豊田",NA,NA,NA,NA,38.865726,0,NA,7,13,14,787,150.32838038633,100.705794947994,0.50074294205052
"152",4,29,33,203,11,24,"両磐","上田",NA,NA,NA,NA,269.225563,0,NA,0,0,0,787,150.32838038633,100.705794947994,0.50074294205052
"153",2,36,31,233,11,24,"盛岡","豊田",NA,NA,NA,NA,66.150604,0,NA,1,6,7,787,150.32838038633,100.705794947994,0.50074294205052
"154",2,30,31,211,11,24,"盛岡","岐阜",NA,NA,NA,NA,94.023976,0,NA,3,4,5,787,150.32838038633,100.705794947994,0.50074294205052
"155",2,29,31,203,11,24,"盛岡","上田",NA,NA,NA,NA,246.469151,0,NA,0,2,3,787,150.32838038633,100.705794947994,0.50074294205052
"156",4,30,33,211,11,24,"両磐","岐阜",NA,NA,NA,NA,116.780388,0,NA,0,0,0,787,150.32838038633,100.705794947994,0.50074294205052
"157",4,35,33,232,11,24,"両磐","東三河",NA,NA,NA,NA,104.49117122,0,NA,0,0,0,787,150.32838038633,100.705794947994,0.50074294205052
"158",3,32,32,222,11,24,"北上中部","西部",NA,NA,NA,NA,75.883489,0,NA,0,1,2,787,150.32838038633,100.705794947994,0.50074294205052
"159",4,36,33,233,11,24,"両磐","豊田",NA,NA,NA,NA,88.907016,0,NA,0,0,0,787,150.32838038633,100.705794947994,0.50074294205052
"160",3,34,32,231,11,24,"北上中部","名古屋",NA,NA,NA,NA,35.311469,0,NA,1,7,7,787,150.32838038633,100.705794947994,0.50074294205052
"161",3,29,32,203,11,24,"北上中部","上田",NA,NA,NA,NA,219.184273,0,NA,0,0,0,787,150.32838038633,100.705794947994,0.50074294205052
"162",3,30,32,211,11,24,"北上中部","岐阜",NA,NA,NA,NA,66.739098,0,NA,0,6,6,787,150.32838038633,100.705794947994,0.50074294205052
"163",2,39,31,271,11,25,"盛岡","大阪",NA,NA,NA,NA,67.094759,0,NA,9,16,20,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"164",3,41,32,283,11,25,"北上中部","播磨",NA,NA,NA,NA,68.71368567,0,NA,1,1,1,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"165",2,38,31,261,11,25,"盛岡","京都",NA,NA,NA,NA,109.659696,0,NA,4,18,29,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"166",3,38,32,261,11,25,"北上中部","京都",NA,NA,NA,NA,82.374818,0,NA,5,9,9,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"167",2,41,31,283,11,25,"盛岡","播磨",NA,NA,NA,NA,95.99856367,0,NA,0,0,0,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"168",2,37,31,252,11,25,"盛岡","東北部",NA,NA,NA,NA,161.419443,0,NA,0,0,0,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"169",3,39,32,271,11,25,"北上中部","大阪",NA,NA,NA,NA,39.809881,0,NA,6,8,9,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"170",4,39,33,271,11,25,"両磐","大阪",NA,NA,NA,NA,89.851171,0,NA,2,3,3,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"171",2,40,31,281,11,25,"盛岡","神戸",NA,NA,NA,NA,59.461531,0,NA,2,4,11,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"172",4,37,33,252,11,25,"両磐","東北部",NA,NA,NA,NA,184.175855,0,NA,0,0,0,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"173",3,40,32,281,11,25,"北上中部","神戸",NA,NA,NA,NA,32.176653,0,NA,2,6,6,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"174",4,38,33,261,11,25,"両磐","京都",NA,NA,NA,NA,132.416108,0,NA,0,0,0,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"175",4,40,33,281,11,25,"両磐","神戸",NA,NA,NA,NA,82.217943,0,NA,0,0,0,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"176",4,41,33,283,11,25,"両磐","播磨",NA,NA,NA,NA,118.75497567,0,NA,0,0,0,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"177",3,37,32,252,11,25,"北上中部","東北部",NA,NA,NA,NA,134.134565,0,NA,0,0,0,919.666666666667,125.333333333333,169.11973361374,0.349351559761654
"178",3,42,32,331,11,30,"北上中部","県南",NA,NA,NA,NA,23.61651067,0,NA,0,0,0,0,0,0,0
"179",2,42,31,331,11,30,"盛岡","県南",NA,NA,NA,NA,50.90138867,0,NA,0,1,1,0,0,0,0
"180",4,42,33,331,11,30,"両磐","県南",NA,NA,NA,NA,73.65780067,0,NA,0,0,0,0,0,0,0
"181",3,43,32,341,11,31,"北上中部","広島",NA,NA,NA,NA,49.05590817,0,NA,1,3,4,0,0,0,0
"182",3,44,32,342,11,31,"北上中部","備後",NA,NA,NA,NA,46.9328315,0,NA,0,0,0,0,0,0,0
"183",2,43,31,341,11,31,"盛岡","広島",NA,NA,NA,NA,76.34078617,0,NA,1,4,5,0,0,0,0
"184",2,44,31,342,11,31,"盛岡","備後",NA,NA,NA,NA,74.2177095,0,NA,0,0,0,0,0,0,0
"185",4,43,33,341,11,31,"両磐","広島",NA,NA,NA,NA,99.09719817,0,NA,0,1,1,0,0,0,0
"186",4,44,33,342,11,31,"両磐","備後",NA,NA,NA,NA,96.9741215,0,NA,0,0,0,0,0,0,0
"187",3,45,32,351,11,32,"北上中部","山口",NA,NA,NA,NA,38.54410548,0,NA,0,0,0,0,0,0,0
"188",2,45,31,351,11,32,"盛岡","山口",NA,NA,NA,NA,65.82898348,0,NA,0,0,0,0,0,0,0
"189",2,46,31,352,11,32,"盛岡","下関",NA,NA,NA,NA,62.390495,0,NA,0,0,0,0,0,0,0
"190",2,47,31,353,11,32,"盛岡","宇部",NA,NA,NA,NA,34.828163,0,NA,0,0,0,0,0,0,0
"191",3,46,32,352,11,32,"北上中部","下関",NA,NA,NA,NA,35.105617,0,NA,0,0,0,0,0,0,0
"192",3,47,32,353,11,32,"北上中部","宇部",NA,NA,NA,NA,7.543285,0,NA,0,0,0,0,0,0,0
"193",4,45,33,351,11,32,"両磐","山口",NA,NA,NA,NA,88.58539548,0,NA,0,0,0,0,0,0,0
"194",4,46,33,352,11,32,"両磐","下関",NA,NA,NA,NA,85.146907,0,NA,0,0,0,0,0,0,0
"195",4,47,33,353,11,32,"両磐","宇部",NA,NA,NA,NA,57.584575,0,NA,0,0,0,0,0,0,0
"196",4,48,33,354,11,32,"両磐","岩国",NA,NA,NA,NA,144.919091,0,NA,0,0,0,0,0,0,0
"197",4,49,33,355,11,32,"両磐","徳山",NA,NA,NA,NA,109.625985,0,NA,0,0,0,0,0,0,0
"198",2,48,31,354,11,32,"盛岡","岩国",NA,NA,NA,NA,122.162679,0,NA,0,0,0,0,0,0,0
"199",2,49,31,355,11,32,"盛岡","徳山",NA,NA,NA,NA,86.869573,0,NA,0,0,0,0,0,0,0
"200",3,48,32,354,11,32,"北上中部","岩国",NA,NA,NA,NA,94.877801,0,NA,0,0,0,0,0,0,0
"201",3,49,32,355,11,32,"北上中部","徳山",NA,NA,NA,NA,59.584695,0,NA,0,0,0,0,0,0,0
"202",3,50,32,401,11,37,"北上中部","福岡",NA,NA,NA,NA,7.96409,0,NA,2,4,4,0,0,0,0
"203",4,51,33,402,11,37,"両磐","北九州",NA,NA,NA,NA,99.103058,0,NA,1,1,1,0,0,0,0
"204",2,50,31,401,11,37,"盛岡","福岡",NA,NA,NA,NA,35.248968,0,NA,3,3,4,0,0,0,0
"205",4,50,33,401,11,37,"両磐","福岡",NA,NA,NA,NA,58.00538,0,NA,1,1,1,0,0,0,0
"206",3,51,32,402,11,37,"北上中部","北九州",NA,NA,NA,NA,49.061768,0,NA,0,1,1,0,0,0,0
"207",2,51,31,402,11,37,"盛岡","北九州",NA,NA,NA,NA,76.346646,0,NA,1,3,3,0,0,0,0
"208",2,52,31,432,11,41,"盛岡","八代・芦北",NA,NA,NA,NA,69.9986385,0,NA,0,0,0,0,0,0,0
