"","OD","i","j","空港i","空港j","rk","k","航空会社","所要時間","費用","費用.多客期.","航空便数","滞在可能時間","アクセシビリティ指標","エアライン参入社数","DISk","cpma","Seatk","LFk","V20","V21","V22"
"85","A-18",NA,NA,"成田","新千歳",NA,NA,"ANA",105,33500,35600,1,0,NA,3,NA,NA,NA,NA,18,8,2
"86","A-18",NA,NA,"成田","新千歳",NA,NA,"IBX",105,33500,35600,1,40,NA,3,NA,NA,NA,NA,18,8,5
"87","A-18",NA,NA,"新千歳","成田",NA,NA,"JAL",105,33500,35600,2,525,NA,3,NA,NA,NA,NA,8,18,1
"88","A-18",NA,NA,"新千歳","成田",NA,NA,"ANA",105,33500,35600,1,575,NA,3,NA,NA,NA,NA,8,18,2
"89","A-18",NA,NA,"新千歳","成田",NA,NA,"IBX",105,33500,35600,1,0,NA,3,NA,NA,NA,NA,8,18,5
"90","A-19",NA,NA,"成田","大阪",NA,NA,"JAL",85,22500,24600,2,0,NA,2,NA,NA,NA,NA,18,25,1
"91","A-19",NA,NA,"成田","大阪",NA,NA,"ANA",85,22500,24600,2,0,NA,2,NA,NA,NA,NA,18,25,2
"92","A-19",NA,NA,"大阪","成田",NA,NA,"JAL",85,22500,24600,2,530,NA,2,NA,NA,NA,NA,25,18,1
"93","A-19",NA,NA,"大阪","成田",NA,NA,"ANA",85,22500,24600,2,525,NA,2,NA,NA,NA,NA,25,18,2
"94","A-20",NA,NA,"成田","福岡",NA,NA,"JAL",120,36700,38900,2,0,NA,2,NA,NA,NA,NA,18,37,1
"95","A-20",NA,NA,"成田","福岡",NA,NA,"ANA",120,36700,38900,2,0,NA,2,NA,NA,NA,NA,18,37,2
"96","A-20",NA,NA,"福岡","成田",NA,NA,"JAL",120,36700,38900,2,660,NA,2,NA,NA,NA,NA,37,18,1
"97","A-20",NA,NA,"福岡","成田",NA,NA,"ANA",120,36700,38900,2,540,NA,2,NA,NA,NA,NA,37,18,2
"98","A-21",NA,NA,"成田","那覇",NA,NA,"ANA",155,40800,42900,1,0,NA,1,NA,NA,NA,NA,18,46,2
"99","A-21",NA,NA,"成田","那覇",NA,NA,"ANA",155,40800,42900,1,200,NA,1,NA,NA,NA,NA,18,46,2
