"","i","j","207ゾーンi","207ゾーンj","47ゾーンi","47ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","路線距離","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物"
"73",18,34,104,231,18,24,"沼田・利根","名古屋",173,8210,1,734,11.471527333,1,0,1,1,1,517.6,0,0,0
"74",18,35,104,232,18,24,"沼田・利根","東三河",211,7340,1,658,10.025930667,1,0,0,0,0,445.2,0,0,0
"75",18,36,104,233,18,24,"沼田・利根","豊田",230,7880,1,620,18.839031,1,0,2,2,4,487.9,0,0,0
"76",18,37,104,252,18,25,"沼田・利根","東北部",273,9290,1,534,13.963025,1,0,0,0,0,597.5,0,0,0
"77",18,38,104,261,18,25,"沼田・利根","京都",209,9830,1,662,11.046798,1,0,1,1,1,665.2,0,0,0
"78",18,39,104,271,18,25,"沼田・利根","大阪",224,10150,1,632,9.635788,1,0,1,1,1,704.2,0,0,0
"79",18,40,104,281,18,25,"沼田・利根","神戸",237,10480,1,606,10.257074,1,0,1,1,1,741.1,0,0,0
"80",18,41,104,283,18,25,"沼田・利根","播磨",254,10800,1,572,9.959914667,1,0,0,0,0,795.9,0,0,0
"81",18,2,104,31,18,11,"沼田・利根","盛岡",198,9610,1,684,10.05536,1,0,0,0,0,626.3,0,0,0
"82",18,3,104,32,18,11,"沼田・利根","北上中部",198,9290,1,684,13.736914,1,0,0,0,0,591,0,0,0
"83",18,4,104,33,18,11,"沼田・利根","両磐",160,8420,1,760,9.915148,1,0,0,0,0,536.1,0,0,0
"84",18,42,104,331,18,30,"沼田・利根","県南",269,11660,1,542,9.720037167,1,0,0,0,0,884.5,0,0,0
"85",18,43,104,341,18,31,"沼田・利根","広島",310,12960,1,460,10.6354905,1,0,0,0,0,1045.8,0,0,0
"86",18,44,104,342,18,31,"沼田・利根","備後",287,11990,1,506,9.097932167,1,0,0,0,0,942.8,0,0,0
"87",18,45,104,351,18,32,"沼田・利根","山口",338,13820,1,404,19.42626374,1,0,0,0,0,1178.6,0,0,0
"88",18,46,104,352,18,32,"沼田・利根","下関",481,14470,1,118,14.004373,1,0,0,0,0,1240.3,0,0,0
"89",18,47,104,353,18,32,"沼田・利根","宇部",470,14150,1,140,22.113064,1,0,0,0,0,1213.7,0,0,0
"90",18,48,104,354,18,32,"沼田・利根","岩国",420,13180,1,240,15.015328,1,0,0,0,0,1087.2,0,0,0
"91",18,49,104,355,18,32,"沼田・利根","徳山",335,13500,1,410,15.821291,1,0,0,0,0,1134.3,0,0,0
"92",18,50,104,401,18,37,"沼田・利根","福岡",374,15010,1,332,10.284326,1,0,0,1,1,1326.5,0,0,0
"93",18,51,104,402,18,37,"沼田・利根","北九州",357,14470,1,366,9.275140333,1,0,0,1,1,1259.3,0,0,0
"94",18,5,104,41,18,12,"沼田・利根","仙台",124,7340,1,832,9.849127,1,0,2,2,4,442.8,0,0,0
"95",18,6,104,43,18,12,"沼田・利根","古川",148,8210,1,784,13.594675,1,0,0,0,0,507.2,0,0,0
"96",18,52,104,432,18,41,"沼田・利根","八代・芦北",474,15980,1,132,11.027178667,1,0,0,0,0,1477.8,0,0,0
"97",18,53,104,461,18,44,"沼田・利根","鹿児島",519,17170,1,42,10.445231167,1,0,0,0,0,1615.4,0,0,0
"98",18,54,104,462,18,44,"沼田・利根","川北薩・串木野",507,16850,1,66,9.364641167,1,0,0,0,0,1569.3,0,0,0
"99",18,7,104,51,18,13,"沼田・利根","秋田臨海",251,10480,1,578,10.842201,1,0,0,0,0,753.6,0,0,0
"100",18,8,104,61,18,15,"沼田・利根","山形",186,7340,1,708,9.849275,1,0,0,0,1,450.9,0,0,0
"101",18,9,104,63,18,12,"沼田・利根","米沢",152,6800,1,776,10.28567,1,0,0,0,0,403.9,0,0,0
"102",18,10,104,64,18,12,"沼田・利根","新庄",234,8210,1,612,8.970662,1,0,0,0,0,512.4,0,0,0
"103",18,11,104,71,18,12,"沼田・利根","福島",116,6260,1,848,10.511360833,1,0,0,0,4,363.8,0,0,0
"104",18,12,104,73,18,17,"沼田・利根","郡山",101,5400,1,878,11.518945,1,0,5,5,8,317.7,0,0,0
"105",18,13,104,76,18,17,"沼田・利根","白河",108,4750,1,864,11.082646667,1,0,0,0,0,276.4,0,0,0
"106",18,14,104,91,18,18,"沼田・利根","宇都宮",74,3670,1,932,10.679576667,1,0,0,0,41,200.5,0,0,0
"107",18,15,104,93,18,18,"沼田・利根","栃木・小山",65,3020,1,950,17.971769259,1,0,1,1,37,171.6,0,0,0
"108",18,16,104,95,18,18,"沼田・利根","那須",93,4430,1,894,15.438003,1,0,0,0,4,248.8,0,0,0
"109",19,17,111,101,18,18,"浦和","前橋・高崎",24,1320,1,1032,14.278033,1,0,362,362,362,74.7,0,0,0
"110",19,18,111,104,18,18,"浦和","沼田・利根",49,2270,1,982,13.932864,1,0,38,38,379,121.3,0,0,0
"111",19,19,111,111,18,18,"浦和","浦和",0,NA,1,1080,10.804394,1,0,0,0,0,0,0,0,0
"112",19,20,111,113,18,18,"浦和","児玉・大里",14,580,1,1052,6.111559,1,0,0,0,0,34.4,0,0,0
"113",19,21,111,131,18,18,"浦和","23区",26,580,1,1028,7.2022475,1,0,0,0,0,30.3,0,0,0
"114",19,22,111,141,18,18,"浦和","横浜",45,970,1,990,11.2646125,1,0,0,0,0,59.1,0,0,0
"115",19,23,111,144,18,18,"浦和","小田原",66,1940,1,948,6.671775,1,0,0,0,0,114.2,0,0,0
"116",19,24,111,151,18,20,"浦和","新潟",95,5400,1,890,7.508481667,1,0,213,213,326,303.6,0,0,0
"117",19,25,111,152,18,20,"浦和","長岡",72,4430,1,936,5.69314,1,0,124,124,232,240.3,0,0,0
"118",19,26,111,154,18,20,"浦和","三条・燕",83,4750,1,914,7.156407,1,0,56,56,80,263.5,0,0,0
"119",19,27,111,155,18,20,"浦和","魚沼",62,3350,1,956,20.836334,1,0,64,64,192,198.6,0,0,0
"120",19,28,111,201,18,18,"浦和","長野",78,3350,1,924,6.482225,1,0,205,205,376,192.1,0,0,0
"121",19,29,111,203,18,24,"浦和","上田",66,2590,1,948,5.935601,1,0,230,230,645,158.9,0,0,0
"122",19,30,111,211,18,24,"浦和","岐阜",206,7020,1,668,19.622867,1,0,17,17,43,426.6,0,0,0
"123",19,1,111,22,18,10,"浦和","南部",185,9610,1,710,10.39674,1,0,41,42,59,601.6,0,0,0
"124",19,31,111,221,18,18,"浦和","中部",94,3670,1,892,6.776139,1,0,94,94,203,210.5,0,0,0
"125",19,32,111,222,18,24,"浦和","西部",120,5080,1,840,7.177643167,1,0,67,67,134,287.4,0,0,0
"126",19,33,111,223,18,18,"浦和","東部",88,2590,1,904,10.9351315,1,0,201,201,696,151,0,0,0
"127",19,34,111,231,18,24,"浦和","名古屋",125,6480,1,830,8.343057333,1,0,226,226,248,396.3,0,0,0
"128",19,35,111,232,18,24,"浦和","東三河",163,5620,1,754,6.897460667,1,0,18,18,31,323.9,0,0,0
"129",19,36,111,233,18,24,"浦和","豊田",182,6260,1,716,15.710561,1,0,70,70,128,366.6,0,0,0
"130",19,37,111,252,18,25,"浦和","東北部",225,7560,1,630,10.834555,1,0,14,14,19,476.2,0,0,0
"131",19,38,111,261,18,25,"浦和","京都",161,8750,1,758,7.918328,1,0,217,224,256,543.9,0,0,0
"132",19,39,111,271,18,25,"浦和","大阪",176,9290,1,728,6.507318,1,0,224,253,273,582.9,0,0,0
"133",19,40,111,281,18,25,"浦和","神戸",189,9610,1,702,7.128604,1,0,67,82,122,619.8,0,0,0
"134",19,41,111,283,18,25,"浦和","播磨",206,9830,1,668,6.831444667,1,0,52,55,56,674.6,0,0,0
"135",19,2,111,31,18,11,"浦和","盛岡",149,8210,1,782,6.92689,1,0,87,87,118,505,0,0,0
"136",19,3,111,32,18,11,"浦和","北上中部",149,7560,1,782,10.608444,1,0,40,40,58,469.7,0,0,0
"137",19,4,111,33,18,11,"浦和","両磐",111,6800,1,858,6.786678,1,0,13,13,30,414.8,0,0,0
"138",19,42,111,331,18,30,"浦和","県南",221,10800,1,638,6.591567167,1,0,58,72,92,763.2,0,0,0
"139",19,43,111,341,18,31,"浦和","広島",262,11990,1,556,7.5070205,1,0,70,95,121,924.5,0,0,0
"140",19,44,111,342,18,31,"浦和","備後",239,11120,1,602,5.969462167,1,0,33,36,37,821.5,0,0,0
"141",19,45,111,351,18,32,"浦和","山口",290,12960,1,500,16.29779374,1,0,11,13,25,1057.3,0,0,0
"142",19,46,111,352,18,32,"浦和","下関",433,13180,1,214,10.875903,1,0,3,7,7,1119,0,0,0
"143",19,47,111,353,18,32,"浦和","宇部",422,13180,1,236,18.984594,1,0,1,7,8,1092.4,0,0,0
"144",19,48,111,354,18,32,"浦和","岩国",372,12310,1,336,11.886858,1,0,5,6,7,965.9,0,0,0
"145",19,49,111,355,18,32,"浦和","徳山",287,12640,1,506,12.692821,1,0,6,8,8,1013,0,0,0
"146",19,50,111,401,18,37,"浦和","福岡",326,14150,1,428,7.155856,1,0,8,111,170,1205.2,0,0,0
"147",19,51,111,402,18,37,"浦和","北九州",309,13500,1,462,6.146670333,1,0,11,34,35,1138,0,0,0
"148",19,5,111,41,18,12,"浦和","仙台",75,5620,1,930,6.720657,1,0,265,265,505,321.5,0,0,0
"149",19,6,111,43,18,12,"浦和","古川",99,6480,1,882,10.466205,1,0,10,10,40,385.9,0,0,0
"150",19,52,111,432,18,41,"浦和","八代・芦北",426,15010,1,228,7.898708667,1,0,0,3,3,1356.5,0,0,0
"151",19,53,111,461,18,44,"浦和","鹿児島",471,16310,1,138,7.316761167,1,0,6,55,85,1494.1,0,0,0
"152",19,54,111,462,18,44,"浦和","川北薩・串木野",459,15980,1,162,6.236171167,1,0,0,3,3,1448,0,0,0
"153",19,7,111,51,18,13,"浦和","秋田臨海",244,9610,1,592,7.713731,1,0,69,75,100,632.3,0,0,0
"154",19,8,111,61,18,15,"浦和","山形",137,5620,1,806,6.720805,1,0,52,52,128,329.6,0,0,0
"155",19,9,111,63,18,12,"浦和","米沢",103,5080,1,874,7.1572,1,0,29,29,47,282.6,0,0,0
"156",19,10,111,64,18,12,"浦和","新庄",185,6480,1,710,5.842192,1,0,10,10,65,391.1,0,0,0
"157",19,11,111,71,18,12,"浦和","福島",67,4430,1,946,7.382890833,1,0,86,86,215,242.5,0,0,0
"158",19,12,111,73,18,17,"浦和","郡山",52,3350,1,976,8.390475,1,0,161,161,375,196.4,0,0,0
"159",19,13,111,76,18,17,"浦和","白河",59,2590,1,962,7.954176667,1,0,83,83,202,155.1,0,0,0
"160",19,14,111,91,18,18,"浦和","宇都宮",25,1320,1,1030,7.551106667,1,0,471,471,471,79.2,0,0,0
"161",19,15,111,93,18,18,"浦和","栃木・小山",16,970,1,1048,14.843299259,1,0,57,57,57,50.3,0,0,0
"162",19,16,111,95,18,18,"浦和","那須",44,2270,1,992,12.309533,1,0,126,126,1047,127.5,0,0,0
"163",20,17,113,101,18,18,"児玉・大里","前橋・高崎",10,760,1,1060,9.585198,1,0,13,13,13,40.3,0,0,0
"164",20,18,113,104,18,18,"児玉・大里","沼田・利根",36,1490,1,1008,9.240029,1,0,2,2,275,86.9,0,0,0
"165",20,19,113,111,18,18,"児玉・大里","浦和",14,580,1,1052,6.111559,1,0,0,0,0,34.4,0,0,0
"166",20,20,113,113,18,18,"児玉・大里","児玉・大里",0,NA,1,1080,1.418724,1,0,0,0,0,0,0,0,0
"167",20,21,113,131,18,18,"児玉・大里","23区",39,1140,1,1002,2.5094125,1,0,0,0,0,64.7,0,0,0
"168",20,22,113,141,18,18,"児玉・大里","横浜",58,1660,1,964,6.5717775,1,0,0,0,0,93.5,0,0,0
"169",20,23,113,144,18,18,"児玉・大里","小田原",79,2590,1,922,1.97894,1,0,0,0,0,148.6,0,0,0
"170",20,24,113,151,18,20,"児玉・大里","新潟",81,4750,1,918,2.815646667,1,0,26,26,62,269.2,0,0,0
"171",20,25,113,152,18,20,"児玉・大里","長岡",58,3670,1,964,1.000305,1,0,2,2,208,205.9,0,0,0
"172",20,26,113,154,18,20,"児玉・大里","三条・燕",69,4000,1,942,2.463572,1,0,3,3,12,229.1,0,0,0
"173",20,27,113,155,18,20,"児玉・大里","魚沼",48,3020,1,984,16.143499,1,0,2,2,50,164.2,0,0,0
"174",20,28,113,201,18,18,"児玉・大里","長野",73,2590,1,934,1.78939,1,0,14,14,96,157.7,0,0,0
"175",20,29,113,203,18,24,"児玉・大里","上田",61,2270,1,958,1.242766,1,0,20,20,311,124.5,0,0,0
"176",20,30,113,211,18,24,"児玉・大里","岐阜",219,7560,1,642,14.930032,1,0,5,5,7,461,0,0,0
"177",20,1,113,22,18,10,"児玉・大里","南部",199,9610,1,682,5.703905,1,0,1,1,1,636,0,0,0
"178",20,31,113,221,18,18,"児玉・大里","中部",107,4430,1,866,2.083304,1,0,3,3,6,244.9,0,0,0
"179",20,32,113,222,18,24,"児玉・大里","西部",133,5620,1,814,2.484808167,1,0,8,8,15,321.8,0,0,0
"180",20,33,113,223,18,18,"児玉・大里","東部",101,3350,1,878,6.2422965,1,0,24,24,58,185.4,0,0,0
"181",20,34,113,231,18,24,"児玉・大里","名古屋",138,7020,1,804,3.650222333,1,0,11,11,17,430.7,0,0,0
"182",20,35,113,232,18,24,"児玉・大里","東三河",176,5940,1,728,2.204625667,1,0,0,0,1,358.3,0,0,0
"183",20,36,113,233,18,24,"児玉・大里","豊田",195,6800,1,690,11.017726,1,0,5,5,12,401,0,0,0
"184",20,37,113,252,18,25,"児玉・大里","東北部",238,8210,1,604,6.14172,1,0,5,5,5,510.6,0,0,0
"185",20,38,113,261,18,25,"児玉・大里","京都",174,8960,1,732,3.225493,1,0,45,45,47,578.3,0,0,0
"186",20,39,113,271,18,25,"児玉・大里","大阪",189,9610,1,702,1.814483,1,0,7,8,9,617.3,0,0,0
"187",20,40,113,281,18,25,"児玉・大里","神戸",202,9830,1,676,2.435769,1,0,4,4,4,654.2,0,0,0
"188",20,41,113,283,18,25,"児玉・大里","播磨",219,10150,1,642,2.138609667,1,0,4,4,4,709,0,0,0
"189",20,2,113,31,18,11,"児玉・大里","盛岡",163,8420,1,754,2.234055,1,0,5,5,5,539.4,0,0,0
"190",20,3,113,32,18,11,"児玉・大里","北上中部",163,8210,1,754,5.915609,1,0,4,4,5,504.1,0,0,0
"191",20,4,113,33,18,11,"児玉・大里","両磐",125,7340,1,830,2.093843,1,0,2,2,2,449.2,0,0,0
"192",20,42,113,331,18,30,"児玉・大里","県南",234,10800,1,612,1.898732167,1,0,10,11,11,797.6,0,0,0
"193",20,43,113,341,18,31,"児玉・大里","広島",275,11990,1,530,2.8141855,1,0,5,7,7,958.9,0,0,0
"194",20,44,113,342,18,31,"児玉・大里","備後",252,11340,1,576,1.276627167,1,0,1,1,1,855.9,0,0,0
"195",20,45,113,351,18,32,"児玉・大里","山口",303,13180,1,474,11.60495874,1,0,2,2,2,1091.7,0,0,0
"196",20,46,113,352,18,32,"児玉・大里","下関",446,13500,1,188,6.183068,1,0,0,0,0,1153.4,0,0,0
"197",20,47,113,353,18,32,"児玉・大里","宇部",435,13500,1,210,14.291759,1,0,0,0,0,1126.8,0,0,0
"198",20,48,113,354,18,32,"児玉・大里","岩国",385,12640,1,310,7.194023,1,0,0,0,0,1000.3,0,0,0
"199",20,49,113,355,18,32,"児玉・大里","徳山",300,12960,1,480,7.999986,1,0,1,1,1,1047.4,0,0,0
"200",20,50,113,401,18,37,"児玉・大里","福岡",339,14150,1,402,2.463021,1,0,1,5,5,1239.6,0,0,0
"201",20,51,113,402,18,37,"児玉・大里","北九州",322,13820,1,436,1.453835333,1,0,7,8,8,1172.4,0,0,0
"202",20,5,113,41,18,12,"児玉・大里","仙台",89,5940,1,902,2.027822,1,0,9,9,23,355.9,0,0,0
"203",20,6,113,43,18,12,"児玉・大里","古川",113,7020,1,854,5.77337,1,0,0,0,1,420.3,0,0,0
"204",20,52,113,432,18,41,"児玉・大里","八代・芦北",439,15340,1,202,3.205873667,1,0,0,0,0,1390.9,0,0,0
"205",20,53,113,461,18,44,"児玉・大里","鹿児島",484,16520,1,112,2.623926167,1,0,0,2,2,1528.5,0,0,0
"206",20,54,113,462,18,44,"児玉・大里","川北薩・串木野",472,16310,1,136,1.543336167,1,0,0,0,0,1482.4,0,0,0
"207",20,7,113,51,18,13,"児玉・大里","秋田臨海",216,9830,1,648,3.020896,1,0,3,3,4,666.7,0,0,0
"208",20,8,113,61,18,15,"児玉・大里","山形",151,6260,1,778,2.02797,1,0,2,2,6,364,0,0,0
"209",20,9,113,63,18,12,"児玉・大里","米沢",117,5400,1,846,2.464365,1,0,0,0,4,317,0,0,0
"210",20,10,113,64,18,12,"児玉・大里","新庄",199,7020,1,682,1.149357,1,0,0,0,1,425.5,0,0,0
"211",20,11,113,71,18,12,"児玉・大里","福島",81,4750,1,918,2.690055833,1,0,3,3,24,276.9,0,0,0
"212",20,12,113,73,18,17,"児玉・大里","郡山",66,4000,1,948,3.69764,1,0,7,7,30,230.8,0,0,0
"213",20,13,113,76,18,17,"児玉・大里","白河",73,3350,1,934,3.261341667,1,0,0,0,13,189.5,0,0,0
"214",20,14,113,91,18,18,"児玉・大里","宇都宮",39,1940,1,1002,2.858271667,1,0,7,7,266,113.6,0,0,0
"215",20,15,113,93,18,18,"児玉・大里","栃木・小山",30,1490,1,1020,10.150464259,1,0,0,0,49,84.7,0,0,0
"216",20,16,113,95,18,18,"児玉・大里","那須",58,3020,1,964,7.616698,1,0,6,6,69,161.9,0,0,0
"217",21,17,131,101,18,18,"23区","前橋・高崎",49,1940,1,982,10.6758865,1,0,0,0,104,105,0,0,0
"218",21,18,131,104,18,18,"23区","沼田・利根",74,2590,1,932,10.3307175,1,0,133,133,406,151.6,0,0,0
"219",21,19,131,111,18,18,"23区","浦和",26,580,1,1028,7.2022475,1,0,0,0,0,30.3,0,0,0
"220",21,20,131,113,18,18,"23区","児玉・大里",39,1140,1,1002,2.5094125,1,0,0,0,0,64.7,0,0,0
"221",21,21,131,131,18,18,"23区","23区",0,NA,1,1080,3.600101,1,0,0,0,0,0,0,0,0
