"","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","V22","prob","out.share","share"
"46",46,1,23,22,144,10,18,"南部","小田原","三沢","羽田","三沢駅羽田駅",0,4,80,14750,1095,350,82.53551817,0,1,60.01166917,0,0.5,0.001
"47",47,1,24,22,151,10,20,"南部","新潟","八戸","新潟","八戸駅新潟駅",0,1,280,10160,1,520,7.100827667,1,0,2.106284667,0,1,0.001
"48",48,1,24,22,151,10,20,"南部","新潟","三沢","新潟","三沢駅新潟駅",0,1,0,NA,NA,NA,34.63792817,0,NA,12.11407917,0,1,0.001
"49",49,1,25,22,152,10,20,"南部","長岡","八戸","長岡","八戸駅長岡駅",2,3,257,12520,1,566,5.285486,1,0,0.290943,0.666666666666667,0.333333333333333,0.666666666666667
"50",50,1,25,22,152,10,20,"南部","長岡","三沢","新潟","三沢駅新潟駅",0,3,0,NA,NA,NA,81.37241159,0,NA,58.84856259,0,0.333333333333333,0.001
"51",51,1,26,22,154,10,20,"南部","三条・燕","八戸","燕三条","八戸駅燕三条駅",0,0,268,11240,1,544,6.748753,1,0,1.75421,NA,NA,NA
"52",52,1,26,22,154,10,20,"南部","三条・燕","三沢","新潟","三沢駅新潟駅",0,0,0,NA,NA,NA,60.410961,0,NA,37.887112,NA,NA,NA
"53",53,1,27,22,155,10,20,"南部","魚沼","八戸","浦佐","八戸駅浦佐駅",0,0,247,13600,1,586,20.42868,1,0,15.434137,NA,NA,NA
"54",54,1,27,22,155,10,20,"南部","魚沼","三沢","新潟","三沢駅新潟駅",0,0,0,NA,NA,NA,119.752854,0,NA,97.229005,NA,NA,NA
"55",55,1,28,22,201,10,18,"南部","長野","八戸","長野","八戸駅長野駅",2,3,271,13600,1,538,6.074571,1,0,1.080028,0.666666666666667,0.333333333333333,0.666666666666667
"56",56,1,28,22,201,10,18,"南部","長野","三沢","羽田","三沢駅羽田駅",0,3,80,14750,1095,350,210.75485,0,1,188.231001,0,0.333333333333333,0.001
"57",57,1,29,22,203,10,24,"南部","上田","八戸","上田","八戸駅上田駅",1,23,259,14680,1,562,5.527947,1,0,0.533404,0.0434782608695652,0.956521739130435,0.0434782608695652
"58",58,1,29,22,203,10,24,"南部","上田","三沢","名古屋","三沢駅名古屋駅",0,23,0,NA,NA,NA,237.77573,0,NA,215.251881,0,0.956521739130435,0.001
"59",59,1,30,22,211,10,24,"南部","岐阜","八戸","岐阜羽島","八戸駅岐阜羽島駅",5,5,391,25280,1,298,19.215213,1,0,14.22067,1,0,0.999
"60",60,1,30,22,211,10,24,"南部","岐阜","三沢","名古屋","三沢駅名古屋駅",0,5,0,NA,NA,NA,85.330555,0,NA,62.806706,0,0,0.001
"61",61,1,31,22,221,10,18,"南部","中部","八戸","静岡","八戸駅静岡駅",3,3,279,22240,1,522,6.368485,1,0,1.373942,1,0,0.999
"62",62,1,31,22,221,10,18,"南部","中部","三沢","羽田","三沢駅羽田駅",0,3,80,14750,1095,350,142.1205443,0,1,119.5966953,0,0,0.001
"63",63,1,32,22,222,10,24,"南部","西部","八戸","浜松","八戸駅浜松駅",2,2,305,23320,1,470,6.769989167,1,0,1.775446167,1,0,0.999
"64",64,1,32,22,222,10,24,"南部","西部","三沢","名古屋","三沢駅名古屋駅",0,2,0,NA,NA,NA,94.474946,0,NA,71.951097,0,0,0.001
"65",65,1,33,22,223,10,18,"南部","東部","八戸","三島","八戸駅三島駅",13,14,273,20960,1,534,10.5274775,1,0,5.5329345,0.928571428571429,0.0714285714285714,0.928571428571429
"66",66,1,33,22,223,10,18,"南部","東部","三沢","羽田","三沢駅羽田駅",0,14,80,14750,1095,350,104.75828933,0,1,82.23444033,0,0.0714285714285714,0.001
"67",67,1,34,22,231,10,24,"南部","名古屋","八戸","名古屋","八戸駅名古屋駅",3,4,310,24620,1,460,7.935403333,1,0,2.940860333,0.75,0.25,0.75
"68",68,1,34,22,231,10,24,"南部","名古屋","三沢","名古屋","三沢駅名古屋駅",0,4,0,NA,NA,NA,53.902926,0,NA,31.379077,0,0.25,0.001
"69",69,1,35,22,232,10,24,"南部","東三河","八戸","豊橋","八戸駅豊橋駅",0,0,348,23980,1,384,6.489806667,1,0,1.495263667,NA,NA,NA
"70",70,1,35,22,232,10,24,"南部","東三河","三沢","名古屋","三沢駅名古屋駅",0,0,0,NA,NA,NA,73.04133822,0,NA,50.51748922,NA,NA,NA
"71",71,1,36,22,233,10,24,"南部","豊田","八戸","三河安城","八戸駅三河安城駅",3,46,367,24620,1,346,15.302907,1,0,10.308364,0.0652173913043478,0.934782608695652,0.0652173913043478
"72",72,1,36,22,233,10,24,"南部","豊田","三沢","名古屋","三沢駅名古屋駅",0,46,0,NA,NA,NA,57.457183,0,NA,34.933334,0,0.934782608695652,0.001
"73",73,1,37,22,252,10,25,"南部","東北部","八戸","米原","八戸駅米原駅",0,0,410,25920,1,260,10.426901,1,0,5.432358,NA,NA,NA
"74",74,1,37,22,252,10,25,"南部","東北部","三沢","関西国際","三沢駅関西国際駅",0,0,0,NA,NA,NA,152.726022,0,NA,130.202173,NA,NA,NA
"75",75,1,38,22,261,10,25,"南部","京都","八戸","京都","八戸駅京都駅",6,10,346,27000,1,388,7.510674,1,0,2.516131,0.6,0,0.6
