,,origin,destination,airline,railway,ship,bus,car,all
11,24,花巻,名古屋,12,64,0,3,26,106
11,25,花巻,関西国際,74,48,0,16,20,161
11,26,花巻,鳥取,0,0,0,0,0,0
11,27,花巻,米子,0,0,0,0,0,0
11,28,花巻,出雲,0,0,0,0,0,2
11,29,花巻,石見,0,0,0,0,0,0
11,30,花巻,岡山,0,2,0,0,70,74
11,31,花巻,広島,2,6,0,0,2,12
11,32,花巻,山口宇部,0,0,0,0,0,1
11,33,花巻,徳島,2,1,0,0,0,4
11,34,花巻,高松,1,1,0,0,0,2
11,35,花巻,松山,1,4,0,0,0,5
11,36,花巻,高知,0,0,0,0,0,1
11,37,花巻,福岡,8,11,0,0,2,21
11,38,花巻,長崎,1,1,0,0,1,3
11,39,花巻,五島福江,0,0,0,0,0,0
11,40,花巻,対馬,0,0,0,0,0,0
11,41,花巻,熊本,2,1,0,0,0,3
11,42,花巻,大分,4,1,0,3,0,7
11,43,花巻,宮崎,0,1,0,0,0,2
11,44,花巻,鹿児島,1,0,0,0,1,3
11,45,花巻,奄美大島,0,0,0,0,0,0
11,46,花巻,那覇,4,1,0,0,1,5
11,47,花巻,石垣島,1,0,0,0,0,1
12,1,仙台,稚内,1,0,0,0,0,2
12,2,仙台,釧路,5,3,1,0,0,9
12,3,仙台,函館,1,22,0,1,0,26
12,4,仙台,旭川,9,4,0,1,2,15
12,5,仙台,帯広,5,2,0,0,0,8
12,6,仙台,根室中標津,0,0,0,0,0,0
12,7,仙台,女満別,4,1,0,0,0,5
12,8,仙台,新千歳,264,11,23,3,81,371
12,9,仙台,青森,0,182,0,80,430,696
12,10,仙台,三沢,0,302,0,14,272,579
12,11,仙台,花巻,0,812,0,275,5937,7008
12,12,仙台,仙台,8,786,0,699,13519,15026
12,13,仙台,秋田,0,248,0,93,2301,2643
12,14,仙台,大館,0,12,0,16,218,247
12,15,仙台,山形,0,11,0,383,4913,5307
12,16,仙台,庄内,0,3,0,67,641,711
12,17,仙台,福島,0,447,0,145,2454,3050
12,18,仙台,羽田,29,6402,0,316,4919,11462
12,19,仙台,八丈島,3,0,0,0,0,0
12,20,仙台,新潟,0,41,11,71,1340,1529
12,21,仙台,富山,1,12,0,1,69,84
12,22,仙台,小松,11,20,0,4,18,53
12,23,仙台,松本,0,32,0,0,19,49
12,24,仙台,名古屋,93,188,5,13,70,369
12,25,仙台,関西国際,409,205,0,49,217,862
12,26,仙台,鳥取,2,3,0,0,0,4
12,27,仙台,米子,0,1,0,0,0,6
12,28,仙台,出雲,3,7,0,2,1,14
12,29,仙台,石見,0,0,0,0,0,0
12,30,仙台,岡山,6,14,0,5,1,24
12,31,仙台,広島,28,35,1,2,5,75
12,32,仙台,山口宇部,5,16,0,1,3,22
12,33,仙台,徳島,3,2,0,0,2,6
12,34,仙台,高松,11,19,0,0,1,26
12,35,仙台,松山,13,7,0,0,0,19
12,36,仙台,高知,5,3,0,1,0,10
12,37,仙台,福岡,85,34,0,2,7,122
12,38,仙台,長崎,10,12,0,2,4,25
12,39,仙台,五島福江,0,0,0,0,0,0
12,40,仙台,対馬,0,0,0,0,0,0
12,41,仙台,熊本,14,4,0,1,3,20
12,42,仙台,大分,6,6,0,3,2,17
12,43,仙台,宮崎,5,8,0,0,1,12
12,44,仙台,鹿児島,8,5,0,1,2,18
12,45,仙台,奄美大島,0,0,0,0,0,0
12,46,仙台,那覇,62,5,0,0,1,64
12,47,仙台,石垣島,1,0,0,0,0,1
13,1,秋田,稚内,0,0,0,0,0,0
13,2,秋田,釧路,1,1,1,0,0,0
13,3,秋田,函館,0,9,1,0,0,9
13,4,秋田,旭川,1,2,0,0,0,0
13,5,秋田,帯広,2,1,0,0,0,2
13,6,秋田,根室中標津,0,0,0,0,0,0
13,7,秋田,女満別,1,0,0,0,0,0
13,8,秋田,新千歳,33,4,6,0,0,17
13,9,秋田,青森,0,27,0,0,1237,1247
13,10,秋田,三沢,0,20,0,0,205,206
13,11,秋田,花巻,0,104,0,30,2173,2218
