"","X","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob","airlineNo","utility2","exputility","alpha"
"48",48,18,3,"東京","函館","ADO",115342,80,24200,2,525,24.936932,3,0,226.947658402204,523.707988980716,608501,786,226.947658402204,726,7074,70,0.18955104428752,6,-2.00447550730151,0.134730942562638,17.3755494949953
"49",49,18,3,"東京","新函館北斗","JR",77000,250,18280,1,580,18.3042805,0,1,0,0,608501,NA,NA,1,NA,NA,0.126540465833253,0,0.936787248086004,2.5517700307663,0.612445729708214
"50",50,18,8,"東京","新千歳","JAL",1754613,90,33500,18,800,58.783124,4,0,444.655208964264,5680.17549969715,4835376,894,444.655208964264,6604,9834,59.8,0.362870022930999,1,6.42361005847777,616.223707096659,1
"51",51,18,8,"東京","新千歳","ANA",1715570,90,33500,16,780,58.783124,4,0,462.30157946693,6773.39404409345,4835376,894,462.30157946693,6078,9834,61.1,0.354795573291508,2,8.54959241863672,5164.64898346177,0.116660730834141
"52",52,18,8,"東京","新千歳","SKY",397362,90,21700,9,775,58.783124,4,0,177,0,4835376,894,177,2903,4917,77.3,0.0821780974219999,4,-4.09037421238547,0.016732970701952,8340.08240588882
"53",53,18,8,"東京","新千歳","ADO",602707,90,25900,10,785,58.783124,4,0,242.955937052933,1394.61201716738,4835376,894,242.955937052933,3495,8046,71,0.124645322307924,6,-1.87030201640369,0.15407712096947,1373.80515060863
"54",54,18,8,"成田","新千歳","JAL",63195,105,33500,2,60,104.604254,3,0,179.498432601881,272.62539184953,4835376,892,179.498432601881,638,9812,55.2,0.0130693042278408,1,-8.69701423874743,0.00016708393972399,132832.721506676
"55",55,18,8,"成田","新千歳","ANA",34133,105,33500,1,0,104.604254,3,0,165.510989010989,333.851648351648,4835376,892,165.510989010989,364,9812,56.7,0.00705901671348826,2,-8.84798789729351,0.000143670525495269,83437.991256103
"56",56,18,8,"成田","新千歳","IBX",11796,105,33500,1,40,104.604254,3,0,50,0,4835376,892,50,361,9812,65.4,0.00243952073220366,7,-11.1674474730255,1.41266500080412e-05,293259.870133446
"57",57,18,8,"東京","札幌","JR",256000,314,21000,1,452,7.452543,0,1,0,0,4835376,NA,NA,1,NA,NA,0.0529431423740367,0,-0.180989485237241,0.834444132631752,107.745653500918
"58",58,18,12,"成田","仙台","ANA",13572,60,18100,2,0,78.831177,2,0,73.9972527472527,0,21123,435,73.9972527472527,364,4785,50.4,0.642522368981679,2,-5.13761530226569,0.00587167520167679,1
"59",59,18,12,"成田","仙台","IBX",7551,60,18100,2,270,78.831177,2,0,50,0,21123,435,50,359,4785,42.1,0.357477631018321,7,-5.5020865369691,0.004078253128748,0.801029416877866
"60",60,18,25,"東京","大阪","JAL",1262583,65,22500,15,770,30.83218,2,0,375.392092257002,4405.60150100677,25077066,514,375.392092257002,5463,5654,61.6,0.0503481148871244,1,7.47026976750104,1755.08008528708,1
"61",61,18,25,"東京","大阪","ANA",1324401,65,22500,14,735,30.83218,2,0,423.075745682889,3186.07476452119,25077066,514,423.075745682889,5096,5654,61.4,0.0528132358067726,2,6.10623598729611,448.646820676389,4.10347608194253
"62",62,18,25,"東京","関西","JAL",249460,75,22500,6,870,54.078609,3,0,164.115300306883,83.0289346777729,25077066,678,164.115300306883,2281,7458,66.6,0.00994773471505797,1,-4.06012886591795,0.0172467964478803,20106.1760607365
"63",63,18,25,"東京","関西","ANA",242305,75,22500,4,760,54.078609,3,0,227.097093382808,2047.57390228819,25077066,678,227.097093382808,1617,7458,66,0.00966241425531998,2,0.2187142350559,1.24447559836995,270.653091063837
"64",64,18,25,"東京","関西","SFJ",150657,75,20700,4,490,54.078609,3,0,144,0,25077066,678,144,1455,6102,71.9,0.00600776023797999,3,-4.03881521767456,0.0176183339456597,11886.7048309816
"65",65,18,25,"成田","大阪","JAL",105150,85,22500,2,0,76.65331,2,0,205.290809327846,661.068587105624,25077066,589,205.290809327846,729,6479,70.3,0.00419307426155835,1,-3.40470020065522,0.0332167769573511,4400.36587008813
"66",66,18,25,"成田","大阪","ANA",87751,85,22500,2,0,76.65331,2,0,212.053375196232,1937.72527472527,25077066,589,212.053375196232,637,6479,65,0.00349925306253929,2,-1.13459272496965,0.32155305519985,379.346808699766
"67",67,18,25,"東京","神戸","JAL",120191,70,22500,2,480,44.948443,3,0,229.603851444292,94.0453920220083,25077066,695,229.603851444292,727,7645,72,0.00479286532164488,1,-2.77763451372779,0.0621854323208663,2686.7069049685
"68",68,18,25,"東京","神戸","ANA",114621,70,22500,2,790,44.948443,3,0,249.665441176471,1327.75245098039,25077066,695,249.665441176471,816,7645,56.3,0.00457075002314864,2,-0.359953062660474,0.69770907391017,228.363569538828
"69",69,18,25,"東京","神戸","SKY",258947,70,11400,6,690,44.948443,3,0,177,0,25077066,695,177,1895,3822.5,77.2,0.0103260485098217,4,-0.561260726243523,0.570489379349374,630.957810980625
"70",70,18,25,"東京","新大阪","JR",21161000,150,14450,1,780,12.048303,0,1,0,0,25077066,NA,NA,1,NA,NA,0.843838748919032,0,3.34041277924537,28.2307773796479,1041.95832939255
"71",71,18,37,"東京","福岡","JAL",1526552,100,36700,19,785,20.323949,3,0,386.851157987904,4767.96592417761,5587903,1041,386.851157987904,6779,11451,58.2,0.273188707821163,1,4.2709821976462,71.5919185115723,1
"72",72,18,37,"東京","福岡","ANA",1605033,100,36700,18,805,20.323949,3,0,416.227159338946,5235.22061116308,5587903,1041,416.227159338946,6414,11451,60.1,0.287233511390588,2,5.50874130998187,246.840236109731,0.304944223556241
"73",73,18,37,"東京","福岡","SKY",589790,100,21700,10,760,20.323949,3,0,198.6640044065,0,5587903,1041,198.6640044065,3631,5725.5,81.8,0.10554764461731,4,-2.57446628791305,0.0761944778623897,363.016450147117
