"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC","i","j","airlineNo","所要時間","費用","航空便数","滞在可能時間","エアライン参入数","ODairline","ODrailway","OD","アクセシビリティ","鉄道ダミー","一便あたり座席数","一便あたり貨物"
"33","仙台","大阪","JEX",2174,1745722,"2,979:04",201894,330542,"152","162,120,882","265,425,226",61.1,230114,"1,555","34,710","12,159,066","184,782","1,247","27,873","12,372,968","28,339,797",43.7,803,152.043238270469,2173.27703828521,8833,12,25,11,75,30800,6,625,3,499572,205000,704572,28.404095,0,152.043238270469,105.848206071757
"34","仙台","大阪","IBX",421,338063,"569:46:00",9156,21050,"50","7,352,268","16,903,150",43.5,0,"0","0","551,420","0","0","0","551,420","1,462,666",37.7,803,50,420.965517241379,8833,12,25,5,75,30800,1,55,3,499572,205000,704572,28.404095,0,50,0
"35","仙台","福岡","JAL",946,1188176,"1,937:52",82514,138356,"146","103,637,584","173,775,136",59.6,360254,"634","75,818","7,772,819","452,479","795","95,227","8,321,320","18,458,931",45.1,1256,146.253699788584,946.617479933586,13816,12,37,1,105,43500,3,300,2,111836,34000,145836,17.895864,0,146.253699788584,380.818181818182
"36","仙台","福岡","ANA",484,607904,"985:34:00",29322,60697,"125","36,828,432","76,235,432",48.3,142315,"596","237","2,762,133","178,746","749","298","2,941,926","8,557,994",34.4,1256,125.407024793388,484.088308722576,13816,12,37,2,105,43500,2,50,2,111836,34000,145836,17.895864,0,125.407024793388,294.039256198347
"37","東京","函館","JAL",1087,854382,"1,476:02",239803,374231,"344","188,485,158","294,145,566",64.1,2983227,"1,800","304,918","14,136,387","2,344,817","1,413","239,666","16,722,283","35,728,494",46.8,786,344.278748850046,1086.64169820345,8646,18,3,1,80,31400,3,640,3,531501,77000,608501,24.936932,0,344.278748850046,2744.45906163753
"38","東京","函館","ANA",731,574566,"977:33:00",176356,251067,"343","138,615,816","197,338,662",70.2,2215890,"2,960","427,791","10,396,186","1,741,691","2,327","336,243","12,476,447","37,764,713",33,786,343.456908344733,731.443645813117,8646,18,3,2,80,31400,2,425,3,531501,77000,608501,24.936932,0,343.456908344733,3031.31326949384
"39","東京","函館","ADO",726,570636,"947:54:00",115342,164764,"227","90,658,812","129,504,504",70,380212,"3,369","0","6,799,413","298,847","2,647","0","7,100,907","18,266,202",38.9,786,226.947658402204,726.045321967004,7074,18,3,7,80,24200,2,525,3,531501,77000,608501,24.936932,0,226.947658402204,523.707988980716
"40","東京","新千歳","JAL",6604,5903976,"10,177:02",1754613,2936503,"445","1,568,624,022","2,625,233,682",59.8,37511879,"10,529","1,941,826","117,646,801","33,535,620","9,412","1,735,993","152,927,826","305,577,694",50,894,444.655208964264,6598.67554085221,9834,18,8,1,90,33500,18,800,4,4579376,256000,4835376,58.783124,0,444.655208964264,5680.17549969715
"41","東京","新千歳","ANA",6078,5433732,"9,603:12",1715570,2809869,"462","1,533,719,580","2,512,022,886",61.1,41168689,"30,270","3,098,436","115,028,970","36,804,808","27,061","2,770,000","154,630,839","460,326,128",33.6,894,462.30157946693,6073.53943547999,9834,18,8,2,90,33500,16,780,4,4579376,256000,4835376,58.783124,0,462.30157946693,6773.39404409345
"42","東京","新千歳","SKY",2903,2595282,"4,680:39",397362,513831,"177","355,241,628","459,364,914",77.3,0,"9,841","0","26,643,122","0","8,799","0","26,651,921","48,354,310",55.1,894,177,2904.24715504199,4917,18,8,4,90,21700,9,775,4,4579376,256000,4835376,58.783124,0,177,0
