"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC","V27","V28","V29"
"63","大阪","福岡","JAC",710,410380,"902:42:00",37593,52540,"74","21,728,754","30,368,120",71.6,44395,"225","84","1,629,656","25,662","130","49","1,655,497","2,911,238",56.9,578,74,709.516080326136,6358,25,37,6
"64","福岡","大阪","JAC",703,406334,"778:29:00",38401,52022,"74","22,195,778","30,068,716",73.8,72601,"229","0","1,664,685","41,962","132","0","1,706,779","2,882,534",59.2,578,74,703.160477550722,6358,37,25,6
"65","大阪","那覇","JAL",428,558112,"909:11:00",140677,197867,"462","183,442,808","258,018,568",71.1,3882909,"1,055","1,962","13,758,211","5,063,314","1,378","2,558","18,825,461","31,250,361",60.2,1304,462.306074766355,427.980416770739,14344,25,46,1
"66","那覇","大阪","JAL",427,556808,"790:02:00",134550,197606,"463","175,453,200","257,678,224",68.1,3180893,"1,008","58,689","13,158,990","4,147,884","1,315","76,532","17,384,721","31,599,832",55,1304,462.777517564403,426.9375348026,14344,46,25,1
"67","大阪","那覇","ANA",426,555504,"919:01:00",156335,203749,"478","203,860,840","265,688,696",76.7,3739216,"3,696","5,128","15,289,563","4,875,937","4,820","6,686","20,177,006","58,627,343",34.4,1304,478.284037558685,426.162240688771,14344,25,46,2
"68","那覇","大阪","ANA",426,555504,"787:54:00",145413,203635,"478","189,618,552","265,540,040",71.4,2294962,"2,836","588","14,221,391","2,992,629","3,698","767","17,218,485","58,590,952",29.4,1304,478.016431924883,426.051596271381,14344,46,25,2
"69","関西","新千歳","JAL",1465,1917685,"2,659:57",236934,338939,"231","310,146,606","443,671,151",69.9,3588020,"1,421","239,004","23,260,995","4,696,718","1,861","312,855","28,272,429","54,223,232",52.1,1309,231.357679180887,1465.09670476743,14399,25,8,1
"70","新千歳","関西","JAL",1464,1916376,"3,185:43",230816,337526,"231","302,138,144","441,821,534",68.4,3289848,"1,383","39,420","22,660,361","4,306,413","1,811","51,603","27,020,188","54,089,188",50,1309,230.550546448087,1463.67162254219,14399,8,25,1
"71","関西","新千歳","ANA",1481,1938629,"2,704:54",231669,317568,"214","303,254,721","415,696,512",73,2967117,"4,071","26,918","22,744,105","3,883,957","5,328","35,235","26,668,625","70,027,220",38.1,1309,214.428089128967,1480.00570172351,14399,25,8,2
"72","新千歳","関西","ANA",1481,1938629,"3,216:52",235646,318734,"215","308,460,614","417,222,806",73.9,3095677,"3,823","101,755","23,134,546","4,052,240","5,006","133,198","27,324,990","70,394,728",38.8,1309,215.215395003376,1481.638652744,14399,8,25,2
"73","関西","福岡","JAL",1110,613830,"",43976,69065,"115","24318728","38192945",72,134696,"218","3767","1823903","74487","123","2083","1900596","3609122",59.55,553,62.2207207207207,981.630830859818,6083,25,37,1
"74","福岡","関西","JAL",1110,613830,"46.93194444",46002,69114,"115","25439106","38220042",74.9,11871,"225","15569","1907932","6565","124","8610","1923231","3610780",60.9,553,62.2648648648649,986.397234684299,6083,37,25,1
"75","関西","福岡","ANA",1327,733831,"1,664:37",62171,104101,"78","34,380,563","57,567,853",59.7,31716,"1,642","2,671","2,578,543","17,541","909","1,476","2,598,469","5,450,029",47.7,553,78.4483798040693,1327.4847579492,6083,25,37,2
"76","福岡","関西","ANA",1328,734384,"1,432:54",68597,104373,"79","37,934,141","57,718,269",65.7,4527,"1,430","13,860","2,845,061","2,505","792","7,665","2,856,023","5,477,249",52.1,553,78.5941265060241,1328.46360759658,6083,37,25,2
"77","関西","那覇","JAL",1473,1857453,"3,118:54",217810,330837,"225","274,658,410","417,185,457",65.8,4071928,"1,634","507,652","20,599,380","5,134,699","2,059","640,149","26,376,287","49,856,032",52.9,1261,224.600814663951,1473.80692976265,13871,25,46,1
"78","那覇","関西","JAL",1471,1854931,"2,698:34",226618,333495,"227","285,765,298","420,537,195",68,4313215,"1,700","247,207","21,432,399","5,438,965","2,143","311,726","27,185,233","50,120,085",54.2,1261,226.713120326309,1469.97123159973,13871,46,25,1
"79","関西","那覇","ANA",1565,1973465,"3,321:23",227843,381746,"244","287,310,023","481,381,706",59.7,8111928,"4,020","394,352","21,548,252","10,229,141","5,070","497,278","32,279,741","92,750,596",34.8,1261,243.927156549521,1564.59236258376,13871,25,46,2
"80","那覇","関西","ANA",1552,1957072,"2,855:43",240932,381682,"246","303,815,252","481,301,002",63.1,6009362,"3,375","308,331","22,786,145","7,577,806","4,257","388,805","30,757,013","91,836,108",33.5,1261,245.92912371134,1552.58420707521,13871,46,25,2
"81","関西","那覇","JTA",90,113490,"201:01:00",7444,13405,"149","9,386,884","16,903,705",55.5,46294,"0","2,467","704,017","58,376","0","3,111","765,504","1,546,868",49.5,1261,148.944444444444,90.0511104166457,13871,25,46,9
"82","那覇","関西","JTA",90,113490,"160:13:00",7033,13470,"150","8,868,613","16,985,670",52.2,5853,"0","30,176","665,146","7,380","0","38,053","710,579","1,546,868",45.9,1261,149.666666666667,90.0212477280291,13871,46,25,9
"83","福岡","新千歳","JAL",729,1176606,"1,595:57",120647,168230,"231","194,724,258","271,523,220",71.7,2429707,"723","310,569","14,604,319","3,921,548","1,167","501,257","19,028,291","31,765,296",59.9,1614,230.76817558299,729.15768086976,17754,37,8,1
"84","新千歳","福岡","JAL",728,1174992,"1,812:12",119560,168118,"231","192,969,840","271,342,452",71.1,1210550,"718","34,315","14,472,740","1,953,828","1,157","55,384","16,483,109","31,636,500",52.1,1614,230.931318681319,728.171153109273,17754,8,37,1
