"","i","j","207ゾーンi","207ゾーンj","47ゾーンi","47ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","路線距離","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物","prob1","prob2","share1","share2","out.share2"
"74",1,37,22,252,10,25,"南部","東北部",410,12960,1,260,10.426901,1,0,0,0,0,1077.8,0,0,0,NA,NA,NA,NA,NA
"75",1,38,22,261,10,25,"南部","京都",NA,NA,NA,NA,100.966275,0,NA,4,10,10,985,150.041551246537,256.193905817175,0.426592797783933,0.4,0.4,0.4,0.4,0
"76",1,38,22,261,10,25,"南部","京都",346,13500,1,388,7.510674,1,0,6,10,10,1145.5,0,0,0,0.6,0.6,0.6,0.6,0
"77",1,39,22,271,10,25,"南部","大阪",NA,NA,NA,NA,58.401338,0,NA,4,11,11,985,150.041551246537,256.193905817175,0.426592797783933,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0
"78",1,39,22,271,10,25,"南部","大阪",361,13820,1,358,6.099664,1,0,7,11,11,1184.5,0,0,0,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0
"79",1,40,22,281,10,25,"南部","神戸",NA,NA,NA,NA,50.76811,0,NA,3,4,4,985,150.041551246537,256.193905817175,0.426592797783933,0.75,0.75,0.75,0.75,0
"80",1,40,22,281,10,25,"南部","神戸",374,14150,1,332,6.72095,1,0,1,4,4,1221.4,0,0,0,0.25,0.25,0.25,0.25,0
"81",1,41,22,283,10,25,"南部","播磨",NA,NA,NA,NA,87.30514267,0,NA,1,3,3,985,150.041551246537,256.193905817175,0.426592797783933,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0
"82",1,41,22,283,10,25,"南部","播磨",391,14470,1,298,6.423790667,1,0,2,3,3,1276.2,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0
"83",1,42,22,331,10,30,"南部","県南",NA,NA,NA,NA,42.20796767,0,NA,0,4,4,0,0,0,0,0,0,0.001,0.001,0
"84",1,42,22,331,10,30,"南部","県南",406,15340,1,268,6.183913167,1,0,4,4,4,1364.8,0,0,0,1,1,0.999,0.999,0
"85",1,43,22,341,10,31,"南部","広島",NA,NA,NA,NA,67.64736517,0,NA,1,2,2,0,0,0,0,0.5,0.5,0.5,0.5,0
"86",1,43,22,341,10,31,"南部","広島",447,16520,1,186,7.0993665,1,0,1,2,2,1526.1,0,0,0,0.5,0.5,0.5,0.5,0
"87",1,44,22,342,10,31,"南部","備後",NA,NA,NA,NA,65.5242885,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"88",1,44,22,342,10,31,"南部","備後",424,15660,1,232,5.561808167,1,0,0,0,0,1423.1,0,0,0,NA,NA,NA,NA,NA
"89",1,45,22,351,10,32,"南部","山口",NA,NA,NA,NA,57.13556248,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"90",1,45,22,351,10,32,"南部","山口",475,17500,1,130,15.89013974,1,0,0,0,0,1658.9,0,0,0,NA,NA,NA,NA,NA
"91",1,46,22,352,10,32,"南部","下関",NA,NA,NA,NA,53.697074,0,NA,0,0,1,0,0,0,0,NA,0,NA,0.001,0.998
"92",1,46,22,352,10,32,"南部","下関",618,18140,1,NA,10.468249,1,0,0,0,1,1720.6,0,0,0,NA,0,NA,0.001,0.998
"93",1,47,22,353,10,32,"南部","宇部",NA,NA,NA,NA,26.134742,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"94",1,47,22,353,10,32,"南部","宇部",607,17820,1,NA,18.57694,1,0,0,0,0,1694,0,0,0,NA,NA,NA,NA,NA
"95",1,48,22,354,10,32,"南部","岩国",NA,NA,NA,NA,113.469258,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"96",1,48,22,354,10,32,"南部","岩国",557,16850,1,NA,11.479204,1,0,0,0,0,1567.5,0,0,0,NA,NA,NA,NA,NA
"97",1,49,22,355,10,32,"南部","徳山",NA,NA,NA,NA,78.176152,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"98",1,49,22,355,10,32,"南部","徳山",472,17170,1,136,12.285167,1,0,0,0,0,1614.6,0,0,0,NA,NA,NA,NA,NA
"99",1,50,22,401,10,37,"南部","福岡",NA,NA,NA,NA,26.555547,0,NA,5,6,7,0,0,0,0,0.833333333333333,0.714285714285714,0.833333333333333,0.714285714285714,0.142857142857143
"100",1,50,22,401,10,37,"南部","福岡",511,18680,1,58,6.748202,1,0,1,6,7,1806.8,0,0,0,0.166666666666667,0.142857142857143,0.166666666666667,0.142857142857143,0.142857142857143
"101",1,51,22,402,10,37,"南部","北九州",NA,NA,NA,NA,67.653225,0,NA,1,1,1,0,0,0,0,1,1,0.999,0.999,0
"102",1,51,22,402,10,37,"南部","北九州",494,18140,1,92,5.739016333,1,0,0,1,1,1739.6,0,0,0,0,0,0.001,0.001,0
"103",1,52,22,432,10,41,"南部","八代・芦北",NA,NA,NA,NA,61.3052175,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"104",1,52,22,432,10,41,"南部","八代・芦北",611,19660,1,NA,7.491054667,1,0,0,0,0,1958.1,0,0,0,NA,NA,NA,NA,NA
"105",1,53,22,461,10,44,"南部","鹿児島",NA,NA,NA,NA,47.72907417,0,NA,1,1,1,0,0,0,0,1,1,0.999,0.999,0
"106",1,53,22,461,10,44,"南部","鹿児島",656,20840,1,NA,6.909107167,1,0,0,1,1,2095.7,0,0,0,0,0,0.001,0.001,0
"107",1,54,22,462,10,44,"南部","川北薩・串木野",NA,NA,NA,NA,57.73323917,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"108",1,54,22,462,10,44,"南部","川北薩・串木野",644,20520,1,NA,5.828517167,1,0,0,0,0,2049.6,0,0,0,NA,NA,NA,NA,NA
