rk,i,j,207ゾーンi,207ゾーンj,47ゾーンi,47ゾーンj,207ゾーン名i,207ゾーン名j,最寄りi,最寄りj,,"x_ij,k",ODij,所要時間,費用,航空便数,滞在可能時間,アクセシビリティ,鉄道ダミー,エアライン参入数
93,1,47,22,353,10,32,南部,宇部,八戸,厚狭,八戸駅厚狭駅,0,0,607,,,,4.994543,1,
94,1,47,22,353,10,32,南部,宇部,三沢,山口宇部,三沢駅山口宇部駅,0,0,0,,,,22.523849,0,
95,1,48,22,354,10,32,南部,岩国,八戸,新岩国,八戸駅新岩国駅,0,0,557,,,,4.994543,1,
96,1,48,22,354,10,32,南部,岩国,三沢,山口宇部,三沢駅山口宇部駅,0,0,0,,,,22.523849,0,
97,1,49,22,355,10,32,南部,徳山,八戸,徳山,八戸駅徳山駅,0,0,472,,,,4.994543,1,
98,1,49,22,355,10,32,南部,徳山,三沢,山口宇部,三沢駅山口宇部駅,0,0,0,,,,22.523849,0,
99,1,50,22,401,10,37,南部,福岡,八戸,博多,八戸駅博多駅,1,6,511,,,,4.994543,1,
100,1,50,22,401,10,37,南部,福岡,三沢,福岡,三沢駅福岡駅,5,6,0,,,,22.523849,0,
101,1,51,22,402,10,37,南部,北九州,八戸,小倉,八戸駅小倉駅,0,1,494,,,,4.994543,1,
102,1,51,22,402,10,37,南部,北九州,三沢,福岡,三沢駅福岡駅,1,1,0,,,,22.523849,0,
103,1,52,22,432,10,41,南部,八代・芦北,八戸,新八代,八戸駅新八代駅,0,0,611,,,,4.994543,1,
104,1,52,22,432,10,41,南部,八代・芦北,三沢,熊本,三沢駅熊本駅,0,0,0,,,,22.523849,0,
105,1,53,22,461,10,44,南部,鹿児島,八戸,鹿児島中央,八戸駅鹿児島中央駅,0,1,656,,,,4.994543,1,
106,1,53,22,461,10,44,南部,鹿児島,三沢,鹿児島,三沢駅鹿児島駅,1,1,0,,,,22.523849,0,
107,1,54,22,462,10,44,南部,川北薩・串木野,八戸,川内,八戸駅川内駅,0,0,644,,,,4.994543,1,
108,1,54,22,462,10,44,南部,川北薩・串木野,三沢,鹿児島,三沢駅鹿児島駅,0,0,0,,,,22.523849,0,
109,2,1,31,22,11,10,盛岡,南部,盛岡,八戸,盛岡駅八戸駅,133,133,36,,,,1.524693,1,
110,2,1,31,22,11,10,盛岡,南部,花巻,三沢,花巻駅三沢駅,0,133,0,,,,31.21727,0,
111,2,2,31,31,11,11,盛岡,盛岡,盛岡,盛岡,盛岡駅盛岡駅,－,#VALUE!,0,,,,1.524693,1,
112,2,2,31,31,11,11,盛岡,盛岡,花巻,花巻,花巻駅花巻駅,0,#VALUE!,0,,,,31.21727,0,
113,2,3,31,32,11,11,盛岡,北上中部,盛岡,新花巻,盛岡駅新花巻駅,－,#VALUE!,0,,,,1.524693,1,
114,2,3,31,32,11,11,盛岡,北上中部,花巻,花巻,花巻駅花巻駅,0,#VALUE!,0,,,,31.21727,0,
115,2,4,31,33,11,11,盛岡,両磐,盛岡,一ノ関,盛岡駅一ノ関駅,－,#VALUE!,38,,,,1.524693,1,
116,2,4,31,33,11,11,盛岡,両磐,花巻,花巻,花巻駅花巻駅,0,#VALUE!,0,,,,31.21727,0,
117,2,5,31,41,11,12,盛岡,仙台,盛岡,仙台,盛岡駅仙台駅,524,524,74,,,,1.524693,1,
118,2,5,31,41,11,12,盛岡,仙台,花巻,仙台,花巻駅仙台駅,0,524,0,,,,31.21727,0,
119,2,6,31,43,11,12,盛岡,古川,盛岡,くりこま高原,盛岡駅くりこま高原駅,1,1,50,,,,1.524693,1,
120,2,6,31,43,11,12,盛岡,古川,花巻,仙台,花巻駅仙台駅,0,1,0,,,,31.21727,0,
121,2,7,31,51,11,13,盛岡,秋田臨海,盛岡,秋田,盛岡駅秋田駅,69,69,95,,,,1.524693,1,
122,2,7,31,51,11,13,盛岡,秋田臨海,花巻,秋田,花巻駅秋田駅,0,69,0,,,,31.21727,0,
123,2,8,31,61,11,15,盛岡,山形,盛岡,山形,盛岡駅山形駅,27,27,171,,,,1.524693,1,
124,2,8,31,61,11,15,盛岡,山形,花巻,山形,花巻駅山形駅,0,27,0,,,,31.21727,0,
125,2,9,31,63,11,12,盛岡,米沢,盛岡,米沢,盛岡駅米沢駅,3,3,137,,,,1.524693,1,
126,2,9,31,63,11,12,盛岡,米沢,花巻,仙台,花巻駅仙台駅,0,3,0,,,,31.21727,0,
127,2,10,31,64,11,12,盛岡,新庄,盛岡,新庄,盛岡駅新庄駅,1,1,219,,,,1.524693,1,
128,2,10,31,64,11,12,盛岡,新庄,花巻,仙台,花巻駅仙台駅,0,1,0,,,,31.21727,0,
129,2,11,31,71,11,12,盛岡,福島,盛岡,福島,盛岡駅福島駅,21,21,101,,,,1.524693,1,
130,2,11,31,71,11,12,盛岡,福島,花巻,仙台,花巻駅仙台駅,0,21,0,,,,31.21727,0,
131,2,12,31,73,11,17,盛岡,郡山,盛岡,郡山,盛岡駅郡山駅,31,31,116,,,,1.524693,1,
132,2,12,31,73,11,17,盛岡,郡山,花巻,福島,花巻駅福島駅,0,31,0,,,,31.21727,0,
133,2,13,31,76,11,17,盛岡,白河,盛岡,新白河,盛岡駅新白河駅,1,1,85,,,,1.524693,1,
134,2,13,31,76,11,17,盛岡,白河,花巻,福島,花巻駅福島駅,0,1,0,,,,31.21727,0,
135,2,14,31,91,11,18,盛岡,宇都宮,盛岡,宇都宮,盛岡駅宇都宮駅,9,9,143,,,,1.524693,1,
136,2,14,31,91,11,18,盛岡,宇都宮,花巻,羽田,花巻駅羽田駅,0,9,0,,,,31.21727,0,
137,2,15,31,93,11,18,盛岡,栃木・小山,盛岡,小山,盛岡駅小山駅,1,1,42,,,,1.524693,1,
138,2,15,31,93,11,18,盛岡,栃木・小山,花巻,羽田,花巻駅羽田駅,0,1,0,,,,31.21727,0,
139,2,16,31,95,11,18,盛岡,那須,盛岡,那須塩原,盛岡駅那須塩原駅,4,4,70,,,,1.524693,1,
140,2,16,31,95,11,18,盛岡,那須,花巻,羽田,花巻駅羽田駅,0,4,0,,,,31.21727,0,
141,2,17,31,101,11,18,盛岡,前橋・高崎,盛岡,高崎,盛岡駅高崎駅,19,19,173,,,,1.524693,1,
142,2,17,31,101,11,18,盛岡,前橋・高崎,花巻,羽田,花巻駅羽田駅,0,19,0,,,,31.21727,0,
143,2,18,31,104,11,18,盛岡,沼田・利根,盛岡,上毛高原,盛岡駅上毛高原駅,0,0,198,,,,1.524693,1,
144,2,18,31,104,11,18,盛岡,沼田・利根,花巻,羽田,花巻駅羽田駅,0,0,0,,,,31.21727,0,
145,2,19,31,111,11,18,盛岡,浦和,盛岡,大宮,盛岡駅大宮駅,87,87,149,,,,1.524693,1,
146,2,19,31,111,11,18,盛岡,浦和,花巻,羽田,花巻駅羽田駅,0,87,0,,,,31.21727,0,
147,2,20,31,113,11,18,盛岡,児玉・大里,盛岡,熊谷,盛岡駅熊谷駅,5,5,163,,,,1.524693,1,
148,2,20,31,113,11,18,盛岡,児玉・大里,花巻,羽田,花巻駅羽田駅,0,5,0,,,,31.21727,0,
149,2,21,31,131,11,18,盛岡,23区,盛岡,東京,盛岡駅東京駅,477,477,175,,,,1.524693,1,
150,2,21,31,131,11,18,盛岡,23区,花巻,羽田,花巻駅羽田駅,0,477,0,,,,31.21727,0,
151,2,22,31,141,11,18,盛岡,横浜,盛岡,新横浜,盛岡駅新横浜駅,57,57,194,,,,1.524693,1,
152,2,22,31,141,11,18,盛岡,横浜,花巻,羽田,花巻駅羽田駅,0,57,0,,,,31.21727,0,
153,2,23,31,144,11,18,盛岡,小田原,盛岡,小田原,盛岡駅小田原駅,5,5,215,,,,1.524693,1,
154,2,23,31,144,11,18,盛岡,小田原,花巻,羽田,花巻駅羽田駅,0,5,0,,,,31.21727,0,
155,2,24,31,151,11,20,盛岡,新潟,盛岡,新潟,盛岡駅新潟駅,7,7,244,,,,1.524693,1,
156,2,24,31,151,11,20,盛岡,新潟,花巻,新潟,花巻駅新潟駅,0,7,0,,,,31.21727,0,
157,2,25,31,152,11,20,盛岡,長岡,盛岡,長岡,盛岡駅長岡駅,2,2,221,,,,1.524693,1,
158,2,25,31,152,11,20,盛岡,長岡,花巻,新潟,花巻駅新潟駅,0,2,0,,,,31.21727,0,
159,2,26,31,154,11,20,盛岡,三条・燕,盛岡,燕三条,盛岡駅燕三条駅,1,1,232,,,,1.524693,1,
160,2,26,31,154,11,20,盛岡,三条・燕,花巻,新潟,花巻駅新潟駅,0,1,0,,,,31.21727,0,
