"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"31",8,25,"札幌","新大阪","JR",0,16205,1,1,0.00956388368637636,0.0663713440825014,10663.1469134048,74000
"32",8,37,"新千歳","福岡","JAL",21545.9449801682,25550,90.8245558089493,728,0.0647041140600137,0.518754745634017,14912.6806879817,119560
"33",8,37,"新千歳","福岡","ANA",44711.1135173828,25550,720.341406032671,371,0.866998565839825,0.446534331272372,199821.494461934,102915
"34",8,37,"札幌","博多","JR",0,20240,1,1,0.068297320100161,0.034710923093611,15740.8248500846,8000
"35",12,8,"仙台","新千歳","JAL",11112.4778954935,14200,30.3110029832151,1433,0.00726404978749497,0.343261548895171,2484.95152775437,117426
"36",12,8,"仙台","新千歳","ANA",11052.0445439067,14200,111.639081407115,1081,0.0313521282114579,0.303485350303576,10725.2181877294,103819
"37",12,8,"仙台","新千歳","ADO",9581.62157429803,13700,27.7736013586223,1351,0.00659816767687716,0.321097726030361,2257.16058241523,109844
"38",12,8,"仙台","札幌","JR",0,8965,1,1,0.95478565432417,0.032155374770893,326621.6697021,11000
"39",12,18,"仙台","成田","ANA",12396.4301808763,9050,323.860469988527,364,0.52772068511512,0.592597559340217,11805.6394467103,13257
"40",12,18,"仙台","成田","IBX",11571.5889063878,9050,413.517047095486,357,0.47227931488488,0.407402440659783,10565.3605532897,9114
"41",12,25,"仙台","大阪","ANA",20842.9814350444,15400,2641.65299061762,2174,0.701638828151687,0.577538372847157,350519.112657394,288522
"42",12,25,"仙台","大阪","JEX",13561.1652441856,15400,1303.63000793599,2174,0.242417841982601,0.404133938651486,121105.166154932,201894
"43",12,25,"仙台","大阪","IBX",12627.5281122751,15400,1284.95269828385,421,0.0559433298657124,0.0183276885013572,27947.7211876737,9156
"44",12,37,"仙台","福岡","JAL",21555.3797641736,21750,692.336334071175,946,0.539620723310568,0.737812511177081,60349.0232121607,82514
"45",12,37,"仙台","福岡","ANA",20520.2944507466,21750,850.018536063832,484,0.460379276689432,0.262187488822919,51486.9767878393,29322
"46",18,3,"東京","函館","JAL",14710.0459129676,15700,1122.12520612033,1087,0.406956760222891,0.394088095171577,247633.595552389,239803
"47",18,3,"東京","函館","ANA",15746.6001462408,15700,1249.3766905826,731,0.495041344163513,0.28982039470765,301233.152964842,176356
"48",18,3,"東京","函館","ADO",10668.0144037011,12100,13.041328224403,726,0.00340474252645104,0.18955104428752,2071.78923208798,115342
"49",18,3,"東京","函館","JR",0,9425,1,1,0.0945971530871448,0.126540465833253,57562.4622506805,77000
"50",18,8,"東京","新千歳","JAL",15216.9429847742,16750,6073.83505344106,6604,0.334008340230745,0.362870022930999,1615055.91215158,1754613
"51",18,8,"東京","新千歳","ANA",20558.7201561789,16750,11399.7745559307,6078,0.66593616324247,0.354795573291508,3220051.74127472,1715570
"52",18,8,"東京","新千歳","SKY",8479.04014839328,10850,1,2903,1.19530830158656e-06,0.0821780974219999,5.77976507409244,397362
"53",18,8,"東京","新千歳","ADO",11628.6343909369,12950,1,3495,1.45458874776464e-05,0.124645322307924,70.3348352081118,602707
"54",18,8,"成田","新千歳","JAL",73520.5703935034,16750,1,638,4.70468705369246e-15,0.0130693042278408,2.27489308669352e-08,63195
"55",18,8,"成田","新千歳","ANA",34046.1711792128,16750,1,364,2.58298516388794e-10,0.00705901671348826,0.00124897044698198,34133
